"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.20.0.4","172.20.0.2","DNS","59","DNS Stateful operations (DSO) 0x3533[Malformed Packet]"
"2","0.000465","172.20.0.2","172.20.0.4","DNS","70","DNS Stateful operations (DSO) 0x3533[Malformed Packet]"
"3","0.011078","172.20.0.4","172.20.0.3","UDP","266","52794  >  8081 Len=224"
"4","0.011576","172.20.0.3","172.20.0.4","UDP","113","8081  >  52794 Len=71"
"5","0.022074","172.20.0.4","172.20.0.3","UDP","113","52794  >  8081 Len=71"
"6","0.022802","172.20.0.3","172.20.0.4","UDP","113","8081  >  52794 Len=71"
"7","0.022932","172.20.0.3","172.20.0.4","UDP","113","8081  >  52794 Len=71"
"8","0.022962","172.20.0.3","172.20.0.4","UDP","113","8081  >  52794 Len=71"
"9","0.063991","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=e4ad)"
"10","0.074757","172.20.0.4","172.20.0.3","UDP","113","52794  >  8081 Len=71"
"11","0.075392","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=e4af)"
"12","0.086216","172.20.0.4","172.20.0.3","UDP","113","52794  >  8081 Len=71"
"13","0.086866","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=e4b2)"
"14","0.097735","172.20.0.4","172.20.0.3","UDP","113","52794  >  8081 Len=71"
"15","0.098421","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=e4b3)"
"16","0.109242","172.20.0.4","172.20.0.3","UDP","113","52794  >  8081 Len=71"
"17","0.109923","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=e4b5)"
"18","0.121517","172.20.0.4","172.20.0.3","UDP","113","52794  >  8081 Len=71"
"19","0.122192","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=e4b8)"
"20","0.133169","172.20.0.4","172.20.0.3","UDP","113","52794  >  8081 Len=71"
"21","0.133768","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=e4bb)"
