"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.20.0.4","172.20.0.2","DNS","59","DNS Stateful operations (DSO) 0x3633[Malformed Packet]"
"2","0.000686","172.20.0.2","172.20.0.4","DNS","70","DNS Stateful operations (DSO) 0x3633[Malformed Packet]"
"3","0.012455","172.20.0.4","172.20.0.3","UDP","268","50517  >  8081 Len=226"
"4","0.013335","172.20.0.3","172.20.0.4","UDP","113","8081  >  50517 Len=71"
"5","0.023864","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"6","0.024422","172.20.0.3","172.20.0.4","UDP","113","8081  >  50517 Len=71"
"7","0.024544","172.20.0.3","172.20.0.4","UDP","113","8081  >  50517 Len=71"
"8","0.024601","172.20.0.3","172.20.0.4","UDP","113","8081  >  50517 Len=71"
"9","0.049649","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c566)"
"10","0.060425","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"11","0.060980","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c569)"
"12","0.071774","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"13","0.072448","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c56a)"
"14","0.083126","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"15","0.083793","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c56b)"
"16","0.094492","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"17","0.095289","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c56e)"
"18","0.106141","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"19","0.106853","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c571)"
"20","0.117671","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"21","0.118211","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c572)"
"22","0.128857","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"23","0.129420","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c575)"
"24","0.140025","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"25","0.140640","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c577)"
"26","0.151284","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"27","0.152085","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c578)"
"28","0.162957","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"29","0.163616","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c579)"
"30","0.174310","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"31","0.174882","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c57a)"
"32","0.185488","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"33","0.186046","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c57b)"
"34","0.196937","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"35","0.197559","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c57d)"
"36","0.208272","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"37","0.208919","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c57f)"
"38","0.220048","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"39","0.220612","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c582)"
"40","0.231541","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"41","0.232260","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c583)"
"42","0.242908","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"43","0.243697","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c584)"
"44","0.254822","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"45","0.255588","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c585)"
"46","0.266828","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"47","0.267570","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c586)"
"48","0.278361","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"49","0.279067","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c589)"
"50","0.289749","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"51","0.290465","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c58b)"
"52","0.301644","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"53","0.302202","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c58d)"
"54","0.312952","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"55","0.313658","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c590)"
"56","0.324446","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"57","0.325123","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c592)"
"58","0.336166","172.20.0.4","172.20.0.3","UDP","113","50517  >  8081 Len=71"
"59","0.336752","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=c595)"
