"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.20.0.4","172.20.0.2","DNS","59","Unknown operation (7) 0x3530[Malformed Packet]"
"2","0.000484","172.20.0.2","172.20.0.4","DNS","70","Unknown operation (7) 0x3530[Malformed Packet]"
"3","0.051634","172.20.0.4","172.20.0.3","UDP","266","39333  >  8081 Len=224"
"4","0.052349","172.20.0.3","172.20.0.4","UDP","113","8081  >  39333 Len=71"
"5","0.102986","172.20.0.4","172.20.0.3","UDP","113","39333  >  8081 Len=71"
"6","0.103549","172.20.0.3","172.20.0.4","UDP","113","8081  >  39333 Len=71"
"7","0.104011","172.20.0.3","172.20.0.4","UDP","113","8081  >  39333 Len=71"
"8","0.104098","172.20.0.3","172.20.0.4","UDP","113","8081  >  39333 Len=71"
"9","0.133592","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=13da)"
"10","0.184676","172.20.0.4","172.20.0.3","UDP","113","39333  >  8081 Len=71"
"11","0.185568","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=13dd)"
"12","0.236650","172.20.0.4","172.20.0.3","UDP","113","39333  >  8081 Len=71"
"13","0.237550","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=13e0)"
"14","0.739586","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=1437)"
"15","0.790938","172.20.0.4","172.20.0.3","UDP","113","39333  >  8081 Len=71"
"16","0.791616","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=143a)"
"17","0.843276","172.20.0.4","172.20.0.3","UDP","113","39333  >  8081 Len=71"
"18","0.844107","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=1444)"
"19","0.895439","172.20.0.4","172.20.0.3","UDP","113","39333  >  8081 Len=71"
"20","0.896370","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=144a)"
"21","0.947878","172.20.0.4","172.20.0.3","UDP","113","39333  >  8081 Len=71"
"22","0.948583","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=1457)"
"23","0.999999","172.20.0.4","172.20.0.3","UDP","113","39333  >  8081 Len=71"
"24","1.000718","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=145f)"
"25","1.052072","172.20.0.4","172.20.0.3","UDP","113","39333  >  8081 Len=71"
"26","1.052793","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=146c)"
"27","1.104135","172.20.0.4","172.20.0.3","UDP","113","39333  >  8081 Len=71"
"28","1.104785","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=1474)"
"29","1.155454","172.20.0.4","172.20.0.3","UDP","113","39333  >  8081 Len=71"
"30","1.156193","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=147d)"
"31","1.206946","172.20.0.4","172.20.0.3","UDP","113","39333  >  8081 Len=71"
"32","1.207633","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=1489)"
"33","1.258612","172.20.0.4","172.20.0.3","UDP","113","39333  >  8081 Len=71"
"34","1.259356","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=148d)"
"35","1.310290","172.20.0.4","172.20.0.3","UDP","113","39333  >  8081 Len=71"
"36","1.310963","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=1493)"
"37","1.362237","172.20.0.4","172.20.0.3","UDP","113","39333  >  8081 Len=71"
"38","1.362941","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=149a)"
"39","1.414223","172.20.0.4","172.20.0.3","UDP","113","39333  >  8081 Len=71"
"40","1.414922","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=14a4)"
"41","1.466145","172.20.0.4","172.20.0.3","UDP","113","39333  >  8081 Len=71"
"42","1.466837","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=14ac)"
"43","1.518338","172.20.0.4","172.20.0.3","UDP","113","39333  >  8081 Len=71"
"44","1.519048","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=14b8)"
"45","2.020715","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=14f4)"
"46","2.071513","172.20.0.4","172.20.0.3","UDP","113","39333  >  8081 Len=71"
"47","2.072194","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=14fd)"
"48","2.122875","172.20.0.4","172.20.0.3","UDP","113","39333  >  8081 Len=71"
"49","2.123487","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=14fe)"
"50","2.174278","172.20.0.4","172.20.0.3","UDP","113","39333  >  8081 Len=71"
"51","2.174885","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=1504)"
"52","2.226169","172.20.0.4","172.20.0.3","UDP","113","39333  >  8081 Len=71"
"53","2.226856","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=1511)"
