"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.20.0.4","172.20.0.2","DNS","59","DNS Stateful operations (DSO) 0x3238[Malformed Packet]"
"2","0.000659","172.20.0.2","172.20.0.4","DNS","70","DNS Stateful operations (DSO) 0x3238[Malformed Packet]"
"3","0.051511","172.20.0.4","172.20.0.3","UDP","268","57535  >  8081 Len=226"
"4","0.052318","172.20.0.3","172.20.0.4","UDP","113","8081  >  57535 Len=71"
"5","0.604207","172.20.0.4","172.20.0.3","UDP","113","57535  >  8081 Len=71"
"6","0.604753","172.20.0.3","172.20.0.4","UDP","113","8081  >  57535 Len=71"
"7","0.604950","172.20.0.3","172.20.0.4","UDP","113","8081  >  57535 Len=71"
"8","0.605025","172.20.0.3","172.20.0.4","UDP","113","8081  >  57535 Len=71"
"9","0.622782","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=e3fe)"
"10","0.673775","172.20.0.4","172.20.0.3","UDP","113","57535  >  8081 Len=71"
"11","0.674662","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=e407)"
"12","0.726543","172.20.0.4","172.20.0.3","UDP","113","57535  >  8081 Len=71"
"13","0.727262","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=e40d)"
"14","0.778680","172.20.0.4","172.20.0.3","UDP","113","57535  >  8081 Len=71"
"15","0.779398","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=e414)"
"16","0.830694","172.20.0.4","172.20.0.3","UDP","113","57535  >  8081 Len=71"
"17","0.831417","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=e416)"
"18","0.882623","172.20.0.4","172.20.0.3","UDP","113","57535  >  8081 Len=71"
"19","0.883339","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=e423)"
"20","0.934730","172.20.0.4","172.20.0.3","UDP","113","57535  >  8081 Len=71"
"21","0.935438","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=e430)"
"22","0.986444","172.20.0.4","172.20.0.3","UDP","113","57535  >  8081 Len=71"
"23","0.987247","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=e43b)"
"24","1.038103","172.20.0.4","172.20.0.3","UDP","113","57535  >  8081 Len=71"
"25","1.038815","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=e443)"
"26","1.089601","172.20.0.4","172.20.0.3","UDP","113","57535  >  8081 Len=71"
"27","1.090391","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=e447)"
"28","1.142045","172.20.0.4","172.20.0.3","UDP","113","57535  >  8081 Len=71"
"29","1.142763","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=e44e)"
"30","1.644851","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=e487)"
"31","1.695569","172.20.0.4","172.20.0.3","UDP","113","57535  >  8081 Len=71"
"32","1.696573","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=e48d)"
"33","1.747857","172.20.0.4","172.20.0.3","UDP","113","57535  >  8081 Len=71"
"34","1.748688","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=e48f)"
"35","1.800109","172.20.0.4","172.20.0.3","UDP","113","57535  >  8081 Len=71"
