"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.20.0.4","172.20.0.2","DNS","59","DNS Stateful operations (DSO) 0x3636[Malformed Packet]"
"2","0.000476","172.20.0.2","172.20.0.4","DNS","70","DNS Stateful operations (DSO) 0x3636[Malformed Packet]"
"3","0.102174","172.20.0.4","172.20.0.3","UDP","266","51465  >  8081 Len=224"
"4","0.102803","172.20.0.3","172.20.0.4","UDP","113","8081  >  51465 Len=71"
"5","0.203483","172.20.0.4","172.20.0.3","UDP","113","51465  >  8081 Len=71"
"6","0.204057","172.20.0.3","172.20.0.4","UDP","113","8081  >  51465 Len=71"
"7","0.204220","172.20.0.3","172.20.0.4","UDP","113","8081  >  51465 Len=71"
"8","0.204269","172.20.0.3","172.20.0.4","UDP","113","8081  >  51465 Len=71"
"9","0.245406","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=87f7)"
"10","0.346585","172.20.0.4","172.20.0.3","UDP","113","51465  >  8081 Len=71"
"11","0.347230","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=8808)"
"12","0.448037","172.20.0.4","172.20.0.3","UDP","113","51465  >  8081 Len=71"
"13","0.448983","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=8811)"
"14","0.549750","172.20.0.4","172.20.0.3","UDP","113","51465  >  8081 Len=71"
"15","0.550547","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=881e)"
"16","0.651412","172.20.0.4","172.20.0.3","UDP","113","51465  >  8081 Len=71"
"17","0.652017","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=8836)"
"18","0.753295","172.20.0.4","172.20.0.3","UDP","113","51465  >  8081 Len=71"
"19","0.754022","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=8837)"
"20","1.255938","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=883c)"
"21","1.357214","172.20.0.4","172.20.0.3","UDP","113","51465  >  8081 Len=71"
"22","1.358081","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=8852)"
"23","1.459547","172.20.0.4","172.20.0.3","UDP","113","51465  >  8081 Len=71"
"24","1.460230","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=8863)"
"25","1.562073","172.20.0.4","172.20.0.3","UDP","113","51465  >  8081 Len=71"
"26","1.562769","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=8879)"
"27","1.663679","172.20.0.4","172.20.0.3","UDP","113","51465  >  8081 Len=71"
"28","1.664340","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=887b)"
"29","1.765981","172.20.0.4","172.20.0.3","UDP","113","51465  >  8081 Len=71"
"30","1.766698","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=887e)"
"31","1.867515","172.20.0.4","172.20.0.3","UDP","113","51465  >  8081 Len=71"
"32","1.868298","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=8883)"
"33","1.969916","172.20.0.4","172.20.0.3","UDP","113","51465  >  8081 Len=71"
"34","1.970703","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=8889)"
"35","2.072130","172.20.0.4","172.20.0.3","UDP","113","51465  >  8081 Len=71"
"36","2.073035","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=8894)"
"37","2.173868","172.20.0.4","172.20.0.3","UDP","113","51465  >  8081 Len=71"
