"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.20.0.4","172.20.0.2","DNS","59","DNS Stateful operations (DSO) 0x3138[Malformed Packet]"
"2","0.000711","172.20.0.2","172.20.0.4","DNS","70","DNS Stateful operations (DSO) 0x3138[Malformed Packet]"
"3","0.101739","172.20.0.4","172.20.0.3","UDP","268","34276  >  8081 Len=226"
"4","0.102556","172.20.0.3","172.20.0.4","UDP","113","8081  >  34276 Len=71"
"5","0.203799","172.20.0.4","172.20.0.3","UDP","113","34276  >  8081 Len=71"
"6","0.204356","172.20.0.3","172.20.0.4","UDP","113","8081  >  34276 Len=71"
"7","0.204651","172.20.0.3","172.20.0.4","UDP","113","8081  >  34276 Len=71"
"8","0.204701","172.20.0.3","172.20.0.4","UDP","113","8081  >  34276 Len=71"
"9","0.225924","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=4084)"
"10","0.327776","172.20.0.4","172.20.0.3","UDP","113","34276  >  8081 Len=71"
"11","0.328620","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=4087)"
"12","0.429542","172.20.0.4","172.20.0.3","UDP","113","34276  >  8081 Len=71"
"13","0.430214","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=408f)"
"14","0.531667","172.20.0.4","172.20.0.3","UDP","113","34276  >  8081 Len=71"
"15","0.532362","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=409f)"
"16","0.633325","172.20.0.4","172.20.0.3","UDP","113","34276  >  8081 Len=71"
"17","0.634007","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=40a4)"
"18","0.735554","172.20.0.4","172.20.0.3","UDP","113","34276  >  8081 Len=71"
"19","0.736279","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=40b4)"
"20","0.837163","172.20.0.4","172.20.0.3","UDP","113","34276  >  8081 Len=71"
"21","0.837909","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=40b9)"
"22","0.939439","172.20.0.4","172.20.0.3","UDP","113","34276  >  8081 Len=71"
"23","0.940124","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=40ba)"
"24","1.041780","172.20.0.4","172.20.0.3","UDP","113","34276  >  8081 Len=71"
"25","1.042470","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=40bf)"
"26","1.143205","172.20.0.4","172.20.0.3","UDP","113","34276  >  8081 Len=71"
"27","1.143909","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=40d0)"
"28","1.245834","172.20.0.4","172.20.0.3","UDP","113","34276  >  8081 Len=71"
"29","1.246560","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=40e8)"
"30","1.748032","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=411d)"
"31","2.249266","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=4190)"
"32","2.350199","172.20.0.4","172.20.0.3","UDP","113","34276  >  8081 Len=71"
"33","2.350987","172.20.0.3","172.20.0.4","IPv4","1514","Fragmented IP protocol (proto=UDP 17, off=0, ID=41a2)"
