"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.20.0.4","172.20.0.2","DNS","59","DNS Stateful operations (DSO) 0x3236[Malformed Packet]"
"2","0.000634","172.20.0.2","172.20.0.4","DNS","70","DNS Stateful operations (DSO) 0x3236[Malformed Packet]"
"3","0.011705","172.20.0.4","172.20.0.3","TCP","74","52904  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3911393018 TSecr=0 WS=128"
"4","0.011923","172.20.0.3","172.20.0.4","TCP","74","8080  >  52904 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3931903582 TSecr=3911393018 WS=128"
"5","0.022060","172.20.0.4","172.20.0.3","TCP","66","52904  >  8080 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3911393029 TSecr=3931903582"
"6","0.022211","172.20.0.4","172.20.0.3","HTTP","221","GET /arquivo_100kb.bin HTTP/1.1 "
"7","0.022253","172.20.0.3","172.20.0.4","TCP","66","8080  >  52904 [ACK] Seq=1 Ack=156 Win=65024 Len=0 TSval=3931903593 TSecr=3911393029"
"8","0.034938","172.20.0.3","172.20.0.4","TCP","2962","8080  >  52904 [PSH, ACK] Seq=1 Ack=156 Win=65024 Len=2896 TSval=3931903605 TSecr=3911393029 [TCP PDU reassembled in 43]"
"9","0.035116","172.20.0.3","172.20.0.4","TCP","2962","8080  >  52904 [PSH, ACK] Seq=2897 Ack=156 Win=65024 Len=2896 TSval=3931903606 TSecr=3911393029 [TCP PDU reassembled in 43]"
"10","0.035140","172.20.0.3","172.20.0.4","TCP","2962","8080  >  52904 [PSH, ACK] Seq=5793 Ack=156 Win=65024 Len=2896 TSval=3931903606 TSecr=3911393029 [TCP PDU reassembled in 43]"
"11","0.035161","172.20.0.3","172.20.0.4","TCP","2962","8080  >  52904 [PSH, ACK] Seq=8689 Ack=156 Win=65024 Len=2896 TSval=3931903606 TSecr=3911393029 [TCP PDU reassembled in 43]"
"12","0.035182","172.20.0.3","172.20.0.4","TCP","2962","8080  >  52904 [PSH, ACK] Seq=11585 Ack=156 Win=65024 Len=2896 TSval=3931903606 TSecr=3911393029 [TCP PDU reassembled in 43]"
"13","0.045253","172.20.0.4","172.20.0.3","TCP","66","52904  >  8080 [ACK] Seq=156 Ack=2897 Win=70144 Len=0 TSval=3911393052 TSecr=3931903605"
"14","0.045265","172.20.0.4","172.20.0.3","TCP","66","52904  >  8080 [ACK] Seq=156 Ack=5793 Win=75904 Len=0 TSval=3911393052 TSecr=3931903606"
"15","0.045267","172.20.0.4","172.20.0.3","TCP","66","52904  >  8080 [ACK] Seq=156 Ack=8689 Win=81664 Len=0 TSval=3911393052 TSecr=3931903606"
"16","0.045269","172.20.0.4","172.20.0.3","TCP","66","52904  >  8080 [ACK] Seq=156 Ack=11585 Win=87424 Len=0 TSval=3911393052 TSecr=3931903606"
"17","0.045271","172.20.0.4","172.20.0.3","TCP","66","52904  >  8080 [ACK] Seq=156 Ack=14481 Win=88320 Len=0 TSval=3911393052 TSecr=3931903606"
"18","0.045474","172.20.0.3","172.20.0.4","TCP","2962","8080  >  52904 [PSH, ACK] Seq=14481 Ack=156 Win=65024 Len=2896 TSval=3931903616 TSecr=3911393052 [TCP PDU reassembled in 43]"
"19","0.045564","172.20.0.3","172.20.0.4","TCP","2962","8080  >  52904 [PSH, ACK] Seq=17377 Ack=156 Win=65024 Len=2896 TSval=3931903616 TSecr=3911393052 [TCP PDU reassembled in 43]"
"20","0.045621","172.20.0.3","172.20.0.4","TCP","2962","8080  >  52904 [PSH, ACK] Seq=20273 Ack=156 Win=65024 Len=2896 TSval=3931903616 TSecr=3911393052 [TCP PDU reassembled in 43]"
"21","0.045631","172.20.0.3","172.20.0.4","TCP","4410","8080  >  52904 [PSH, ACK] Seq=23169 Ack=156 Win=65024 Len=4344 TSval=3931903616 TSecr=3911393052 [TCP PDU reassembled in 43]"
"22","0.045636","172.20.0.3","172.20.0.4","TCP","4410","8080  >  52904 [PSH, ACK] Seq=27513 Ack=156 Win=65024 Len=4344 TSval=3931903616 TSecr=3911393052 [TCP PDU reassembled in 43]"
"23","0.045665","172.20.0.3","172.20.0.4","TCP","4410","8080  >  52904 [PSH, ACK] Seq=31857 Ack=156 Win=65024 Len=4344 TSval=3931903616 TSecr=3911393052 [TCP PDU reassembled in 43]"
"24","0.045675","172.20.0.3","172.20.0.4","TCP","4410","8080  >  52904 [PSH, ACK] Seq=36201 Ack=156 Win=65024 Len=4344 TSval=3931903616 TSecr=3911393052 [TCP PDU reassembled in 43]"
"25","0.045696","172.20.0.3","172.20.0.4","TCP","2962","8080  >  52904 [PSH, ACK] Seq=40545 Ack=156 Win=65024 Len=2896 TSval=3931903616 TSecr=3911393052 [TCP PDU reassembled in 43]"
"26","0.055709","172.20.0.4","172.20.0.3","TCP","66","52904  >  8080 [ACK] Seq=156 Ack=17377 Win=94080 Len=0 TSval=3911393062 TSecr=3931903616"
"27","0.055719","172.20.0.4","172.20.0.3","TCP","66","52904  >  8080 [ACK] Seq=156 Ack=20273 Win=94080 Len=0 TSval=3911393062 TSecr=3931903616"
"28","0.055722","172.20.0.4","172.20.0.3","TCP","66","52904  >  8080 [ACK] Seq=156 Ack=23169 Win=91264 Len=0 TSval=3911393062 TSecr=3931903616"
"29","0.055725","172.20.0.4","172.20.0.3","TCP","66","52904  >  8080 [ACK] Seq=156 Ack=27513 Win=87040 Len=0 TSval=3911393062 TSecr=3931903616"
"30","0.055728","172.20.0.4","172.20.0.3","TCP","66","52904  >  8080 [ACK] Seq=156 Ack=31857 Win=82816 Len=0 TSval=3911393062 TSecr=3931903616"
"31","0.055734","172.20.0.4","172.20.0.3","TCP","66","52904  >  8080 [ACK] Seq=156 Ack=36201 Win=82176 Len=0 TSval=3911393062 TSecr=3931903616"
"32","0.055737","172.20.0.4","172.20.0.3","TCP","66","52904  >  8080 [ACK] Seq=156 Ack=40545 Win=78208 Len=0 TSval=3911393062 TSecr=3931903616"
"33","0.055740","172.20.0.4","172.20.0.3","TCP","66","52904  >  8080 [ACK] Seq=156 Ack=43441 Win=75392 Len=0 TSval=3911393062 TSecr=3931903616"
"34","0.056112","172.20.0.3","172.20.0.4","TCP","2962","8080  >  52904 [PSH, ACK] Seq=43441 Ack=156 Win=65024 Len=2896 TSval=3931903627 TSecr=3911393062 [TCP PDU reassembled in 43]"
"35","0.056236","172.20.0.3","172.20.0.4","TCP","5858","8080  >  52904 [PSH, ACK] Seq=46337 Ack=156 Win=65024 Len=5792 TSval=3931903627 TSecr=3911393062 [TCP PDU reassembled in 43]"
"36","0.056262","172.20.0.3","172.20.0.4","TCP","5858","8080  >  52904 [PSH, ACK] Seq=52129 Ack=156 Win=65024 Len=5792 TSval=3931903627 TSecr=3911393062 [TCP PDU reassembled in 43]"
"37","0.056339","172.20.0.3","172.20.0.4","TCP","7306","8080  >  52904 [PSH, ACK] Seq=57921 Ack=156 Win=65024 Len=7240 TSval=3931903627 TSecr=3911393062 [TCP PDU reassembled in 43]"
"38","0.056360","172.20.0.3","172.20.0.4","TCP","10202","8080  >  52904 [PSH, ACK] Seq=65161 Ack=156 Win=65024 Len=10136 TSval=3931903627 TSecr=3911393062 [TCP PDU reassembled in 43]"
"39","0.056446","172.20.0.3","172.20.0.4","TCP","2962","8080  >  52904 [PSH, ACK] Seq=75297 Ack=156 Win=65024 Len=2896 TSval=3931903627 TSecr=3911393062 [TCP PDU reassembled in 43]"
"40","0.056466","172.20.0.3","172.20.0.4","TCP","10202","8080  >  52904 [PSH, ACK] Seq=78193 Ack=156 Win=65024 Len=10136 TSval=3931903627 TSecr=3911393062 [TCP PDU reassembled in 43]"
"41","0.056485","172.20.0.3","172.20.0.4","TCP","10202","8080  >  52904 [PSH, ACK] Seq=88329 Ack=156 Win=65024 Len=10136 TSval=3931903627 TSecr=3911393062 [TCP PDU reassembled in 43]"
"42","0.056545","172.20.0.3","172.20.0.4","TCP","2962","8080  >  52904 [PSH, ACK] Seq=98465 Ack=156 Win=65024 Len=2896 TSval=3931903627 TSecr=3911393062 [TCP PDU reassembled in 43]"
"43","0.056563","172.20.0.3","172.20.0.4","HTTP","1289","HTTP/1.1 200 OK "
"44","0.066406","172.20.0.4","172.20.0.3","TCP","66","52904  >  8080 [ACK] Seq=156 Ack=46337 Win=97024 Len=0 TSval=3911393073 TSecr=3931903627"
"45","0.066418","172.20.0.4","172.20.0.3","TCP","66","52904  >  8080 [ACK] Seq=156 Ack=52129 Win=91904 Len=0 TSval=3911393073 TSecr=3931903627"
"46","0.066421","172.20.0.4","172.20.0.3","TCP","66","52904  >  8080 [ACK] Seq=156 Ack=57921 Win=86784 Len=0 TSval=3911393073 TSecr=3931903627"
"47","0.066423","172.20.0.4","172.20.0.3","TCP","66","52904  >  8080 [ACK] Seq=156 Ack=65161 Win=111488 Len=0 TSval=3911393073 TSecr=3931903627"
"48","0.066429","172.20.0.4","172.20.0.3","TCP","66","52904  >  8080 [ACK] Seq=156 Ack=75297 Win=131712 Len=0 TSval=3911393073 TSecr=3931903627"
"49","0.066657","172.20.0.4","172.20.0.3","TCP","66","52904  >  8080 [ACK] Seq=156 Ack=78193 Win=137600 Len=0 TSval=3911393073 TSecr=3931903627"
"50","0.066660","172.20.0.4","172.20.0.3","TCP","66","52904  >  8080 [ACK] Seq=156 Ack=88329 Win=153216 Len=0 TSval=3911393073 TSecr=3931903627"
"51","0.066661","172.20.0.4","172.20.0.3","TCP","66","52904  >  8080 [ACK] Seq=156 Ack=98465 Win=144768 Len=0 TSval=3911393073 TSecr=3931903627"
"52","0.066664","172.20.0.4","172.20.0.3","TCP","66","52904  >  8080 [ACK] Seq=156 Ack=101361 Win=141952 Len=0 TSval=3911393073 TSecr=3931903627"
"53","0.067659","172.20.0.4","172.20.0.3","TCP","66","52904  >  8080 [FIN, ACK] Seq=156 Ack=102585 Win=153216 Len=0 TSval=3911393074 TSecr=3931903627"
"54","0.067860","172.20.0.3","172.20.0.4","TCP","66","8080  >  52904 [ACK] Seq=102585 Ack=157 Win=65024 Len=0 TSval=3931903638 TSecr=3911393074"
"55","1.629435","172.20.0.4","172.20.0.2","DNS","59","Unknown operation (7) 0x3533[Malformed Packet]"
"56","1.630161","172.20.0.2","172.20.0.4","DNS","70","Unknown operation (7) 0x3533[Malformed Packet]"
"57","1.641319","172.20.0.4","172.20.0.3","TCP","74","52910  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3911394647 TSecr=0 WS=128"
"58","1.641502","172.20.0.3","172.20.0.4","TCP","74","8080  >  52910 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3931905212 TSecr=3911394647 WS=128"
"59","1.652003","172.20.0.4","172.20.0.3","TCP","66","52910  >  8080 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3911394658 TSecr=3931905212"
"60","1.652016","172.20.0.4","172.20.0.3","HTTP","221","GET /arquivo_100kb.bin HTTP/1.1 "
"61","1.652355","172.20.0.3","172.20.0.4","TCP","66","8080  >  52910 [ACK] Seq=1 Ack=156 Win=65024 Len=0 TSval=3931905223 TSecr=3911394659"
"62","1.664949","172.20.0.3","172.20.0.4","TCP","2962","8080  >  52910 [PSH, ACK] Seq=1 Ack=156 Win=65024 Len=2896 TSval=3931905235 TSecr=3911394659 [TCP PDU reassembled in 97]"
"63","1.665083","172.20.0.3","172.20.0.4","TCP","2962","8080  >  52910 [PSH, ACK] Seq=2897 Ack=156 Win=65024 Len=2896 TSval=3931905236 TSecr=3911394659 [TCP PDU reassembled in 97]"
"64","1.665108","172.20.0.3","172.20.0.4","TCP","2962","8080  >  52910 [PSH, ACK] Seq=5793 Ack=156 Win=65024 Len=2896 TSval=3931905236 TSecr=3911394659 [TCP PDU reassembled in 97]"
"65","1.665130","172.20.0.3","172.20.0.4","TCP","2962","8080  >  52910 [PSH, ACK] Seq=8689 Ack=156 Win=65024 Len=2896 TSval=3931905236 TSecr=3911394659 [TCP PDU reassembled in 97]"
"66","1.665150","172.20.0.3","172.20.0.4","TCP","2962","8080  >  52910 [PSH, ACK] Seq=11585 Ack=156 Win=65024 Len=2896 TSval=3931905236 TSecr=3911394659 [TCP PDU reassembled in 97]"
"67","1.675081","172.20.0.4","172.20.0.3","TCP","66","52910  >  8080 [ACK] Seq=156 Ack=2897 Win=70144 Len=0 TSval=3911394682 TSecr=3931905235"
"68","1.675124","172.20.0.4","172.20.0.3","TCP","66","52910  >  8080 [ACK] Seq=156 Ack=5793 Win=75904 Len=0 TSval=3911394682 TSecr=3931905236"
"69","1.675129","172.20.0.4","172.20.0.3","TCP","66","52910  >  8080 [ACK] Seq=156 Ack=8689 Win=81664 Len=0 TSval=3911394682 TSecr=3931905236"
"70","1.675310","172.20.0.3","172.20.0.4","TCP","2962","8080  >  52910 [PSH, ACK] Seq=14481 Ack=156 Win=65024 Len=2896 TSval=3931905246 TSecr=3911394682 [TCP PDU reassembled in 97]"
"71","1.675397","172.20.0.4","172.20.0.3","TCP","66","52910  >  8080 [ACK] Seq=156 Ack=11585 Win=87424 Len=0 TSval=3911394682 TSecr=3931905236"
"72","1.675399","172.20.0.4","172.20.0.3","TCP","66","52910  >  8080 [ACK] Seq=156 Ack=14481 Win=88320 Len=0 TSval=3911394682 TSecr=3931905236"
"73","1.675404","172.20.0.3","172.20.0.4","TCP","2962","8080  >  52910 [PSH, ACK] Seq=17377 Ack=156 Win=65024 Len=2896 TSval=3931905246 TSecr=3911394682 [TCP PDU reassembled in 97]"
"74","1.675479","172.20.0.3","172.20.0.4","TCP","2962","8080  >  52910 [PSH, ACK] Seq=20273 Ack=156 Win=65024 Len=2896 TSval=3931905246 TSecr=3911394682 [TCP PDU reassembled in 97]"
"75","1.675489","172.20.0.3","172.20.0.4","TCP","4410","8080  >  52910 [PSH, ACK] Seq=23169 Ack=156 Win=65024 Len=4344 TSval=3931905246 TSecr=3911394682 [TCP PDU reassembled in 97]"
"76","1.675499","172.20.0.3","172.20.0.4","TCP","4410","8080  >  52910 [PSH, ACK] Seq=27513 Ack=156 Win=65024 Len=4344 TSval=3931905246 TSecr=3911394682 [TCP PDU reassembled in 97]"
"77","1.675535","172.20.0.3","172.20.0.4","TCP","4410","8080  >  52910 [PSH, ACK] Seq=31857 Ack=156 Win=65024 Len=4344 TSval=3931905246 TSecr=3911394682 [TCP PDU reassembled in 97]"
"78","1.675545","172.20.0.3","172.20.0.4","TCP","4410","8080  >  52910 [PSH, ACK] Seq=36201 Ack=156 Win=65024 Len=4344 TSval=3931905246 TSecr=3911394682 [TCP PDU reassembled in 97]"
"79","1.675565","172.20.0.3","172.20.0.4","TCP","2962","8080  >  52910 [PSH, ACK] Seq=40545 Ack=156 Win=65024 Len=2896 TSval=3931905246 TSecr=3911394682 [TCP PDU reassembled in 97]"
"80","1.685499","172.20.0.4","172.20.0.3","TCP","66","52910  >  8080 [ACK] Seq=156 Ack=17377 Win=94080 Len=0 TSval=3911394692 TSecr=3931905246"
"81","1.685508","172.20.0.4","172.20.0.3","TCP","66","52910  >  8080 [ACK] Seq=156 Ack=20273 Win=94080 Len=0 TSval=3911394692 TSecr=3931905246"
"82","1.685516","172.20.0.4","172.20.0.3","TCP","66","52910  >  8080 [ACK] Seq=156 Ack=23169 Win=94080 Len=0 TSval=3911394692 TSecr=3931905246"
"83","1.685518","172.20.0.4","172.20.0.3","TCP","66","52910  >  8080 [ACK] Seq=156 Ack=27513 Win=90112 Len=0 TSval=3911394692 TSecr=3931905246"
