"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.20.0.4","172.20.0.2","DNS","59","Unknown operation (7) 0x3238[Malformed Packet]"
"2","0.002083","172.20.0.2","172.20.0.4","DNS","70","Unknown operation (7) 0x3238[Malformed Packet]"
"3","0.013158","172.20.0.4","172.20.0.3","TCP","74","37682  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3912369683 TSecr=0 WS=128"
"4","0.013493","172.20.0.3","172.20.0.4","TCP","74","8080  >  37682 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3932880247 TSecr=3912369683 WS=128"
"5","0.023726","172.20.0.4","172.20.0.3","TCP","66","37682  >  8080 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3912369693 TSecr=3932880247"
"6","0.023739","172.20.0.4","172.20.0.3","HTTP","219","GET /arquivo_1mb.bin HTTP/1.1 "
"7","0.024101","172.20.0.3","172.20.0.4","TCP","66","8080  >  37682 [ACK] Seq=1 Ack=154 Win=65024 Len=0 TSval=3932880258 TSecr=3912369694"
"8","0.069016","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37682 [PSH, ACK] Seq=1 Ack=154 Win=65024 Len=2896 TSval=3932880303 TSecr=3912369694 [TCP PDU reassembled in 108]"
"9","0.069232","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37682 [PSH, ACK] Seq=2897 Ack=154 Win=65024 Len=2896 TSval=3932880303 TSecr=3912369694 [TCP PDU reassembled in 108]"
"10","0.069270","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37682 [PSH, ACK] Seq=5793 Ack=154 Win=65024 Len=2896 TSval=3932880303 TSecr=3912369694 [TCP PDU reassembled in 108]"
"11","0.069301","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37682 [PSH, ACK] Seq=8689 Ack=154 Win=65024 Len=2896 TSval=3932880303 TSecr=3912369694 [TCP PDU reassembled in 108]"
"12","0.069329","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37682 [PSH, ACK] Seq=11585 Ack=154 Win=65024 Len=2896 TSval=3932880303 TSecr=3912369694 [TCP PDU reassembled in 108]"
"13","0.079307","172.20.0.4","172.20.0.3","TCP","66","37682  >  8080 [ACK] Seq=154 Ack=2897 Win=70144 Len=0 TSval=3912369749 TSecr=3932880303"
"14","0.079331","172.20.0.4","172.20.0.3","TCP","66","37682  >  8080 [ACK] Seq=154 Ack=5793 Win=75904 Len=0 TSval=3912369749 TSecr=3932880303"
"15","0.079334","172.20.0.4","172.20.0.3","TCP","66","37682  >  8080 [ACK] Seq=154 Ack=8689 Win=81664 Len=0 TSval=3912369749 TSecr=3932880303"
"16","0.079353","172.20.0.4","172.20.0.3","TCP","66","37682  >  8080 [ACK] Seq=154 Ack=11585 Win=87424 Len=0 TSval=3912369749 TSecr=3932880303"
"17","0.079357","172.20.0.4","172.20.0.3","TCP","66","37682  >  8080 [ACK] Seq=154 Ack=14481 Win=88320 Len=0 TSval=3912369749 TSecr=3932880303"
"18","0.079648","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37682 [PSH, ACK] Seq=14481 Ack=154 Win=65024 Len=2896 TSval=3932880313 TSecr=3912369749 [TCP PDU reassembled in 108]"
"19","0.079753","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37682 [PSH, ACK] Seq=17377 Ack=154 Win=65024 Len=2896 TSval=3932880313 TSecr=3912369749 [TCP PDU reassembled in 108]"
"20","0.079875","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37682 [PSH, ACK] Seq=20273 Ack=154 Win=65024 Len=2896 TSval=3932880314 TSecr=3912369749 [TCP PDU reassembled in 108]"
"21","0.079892","172.20.0.3","172.20.0.4","TCP","4410","8080  >  37682 [PSH, ACK] Seq=23169 Ack=154 Win=65024 Len=4344 TSval=3932880314 TSecr=3912369749 [TCP PDU reassembled in 108]"
"22","0.079906","172.20.0.3","172.20.0.4","TCP","4410","8080  >  37682 [PSH, ACK] Seq=27513 Ack=154 Win=65024 Len=4344 TSval=3932880314 TSecr=3912369749 [TCP PDU reassembled in 108]"
"23","0.079961","172.20.0.3","172.20.0.4","TCP","4410","8080  >  37682 [PSH, ACK] Seq=31857 Ack=154 Win=65024 Len=4344 TSval=3932880314 TSecr=3912369749 [TCP PDU reassembled in 108]"
"24","0.079976","172.20.0.3","172.20.0.4","TCP","4410","8080  >  37682 [PSH, ACK] Seq=36201 Ack=154 Win=65024 Len=4344 TSval=3932880314 TSecr=3912369749 [TCP PDU reassembled in 108]"
"25","0.080011","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37682 [PSH, ACK] Seq=40545 Ack=154 Win=65024 Len=2896 TSval=3932880314 TSecr=3912369749 [TCP PDU reassembled in 108]"
"26","0.089949","172.20.0.4","172.20.0.3","TCP","66","37682  >  8080 [ACK] Seq=154 Ack=17377 Win=94080 Len=0 TSval=3912369760 TSecr=3932880313"
"27","0.089960","172.20.0.4","172.20.0.3","TCP","66","37682  >  8080 [ACK] Seq=154 Ack=20273 Win=94080 Len=0 TSval=3912369760 TSecr=3932880313"
"28","0.089963","172.20.0.4","172.20.0.3","TCP","66","37682  >  8080 [ACK] Seq=154 Ack=23169 Win=94080 Len=0 TSval=3912369760 TSecr=3932880314"
"29","0.089966","172.20.0.4","172.20.0.3","TCP","66","37682  >  8080 [ACK] Seq=154 Ack=27513 Win=90112 Len=0 TSval=3912369760 TSecr=3932880314"
"30","0.089984","172.20.0.4","172.20.0.3","TCP","66","37682  >  8080 [ACK] Seq=154 Ack=31857 Win=89088 Len=0 TSval=3912369760 TSecr=3932880314"
"31","0.090003","172.20.0.4","172.20.0.3","TCP","66","37682  >  8080 [ACK] Seq=154 Ack=36201 Win=91904 Len=0 TSval=3912369760 TSecr=3932880314"
"32","0.090011","172.20.0.4","172.20.0.3","TCP","66","37682  >  8080 [ACK] Seq=154 Ack=40545 Win=91904 Len=0 TSval=3912369760 TSecr=3932880314"
"33","0.090354","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37682 [PSH, ACK] Seq=43441 Ack=154 Win=65024 Len=2896 TSval=3932880324 TSecr=3912369760 [TCP PDU reassembled in 108]"
"34","0.090458","172.20.0.4","172.20.0.3","TCP","66","37682  >  8080 [ACK] Seq=154 Ack=43441 Win=97024 Len=0 TSval=3912369760 TSecr=3932880314"
"35","0.090467","172.20.0.3","172.20.0.4","TCP","5858","8080  >  37682 [PSH, ACK] Seq=46337 Ack=154 Win=65024 Len=5792 TSval=3932880324 TSecr=3912369760 [TCP PDU reassembled in 108]"
"36","0.090488","172.20.0.3","172.20.0.4","TCP","5858","8080  >  37682 [PSH, ACK] Seq=52129 Ack=154 Win=65024 Len=5792 TSval=3932880324 TSecr=3912369760 [TCP PDU reassembled in 108]"
"37","0.090569","172.20.0.3","172.20.0.4","TCP","7306","8080  >  37682 [PSH, ACK] Seq=57921 Ack=154 Win=65024 Len=7240 TSval=3932880324 TSecr=3912369760 [TCP PDU reassembled in 108]"
"38","0.090583","172.20.0.3","172.20.0.4","TCP","10202","8080  >  37682 [PSH, ACK] Seq=65161 Ack=154 Win=65024 Len=10136 TSval=3932880324 TSecr=3912369760 [TCP PDU reassembled in 108]"
"39","0.090660","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37682 [PSH, ACK] Seq=75297 Ack=154 Win=65024 Len=2896 TSval=3932880325 TSecr=3912369760 [TCP PDU reassembled in 108]"
"40","0.090689","172.20.0.3","172.20.0.4","TCP","10202","8080  >  37682 [PSH, ACK] Seq=78193 Ack=154 Win=65024 Len=10136 TSval=3932880325 TSecr=3912369760 [TCP PDU reassembled in 108]"
"41","0.090716","172.20.0.3","172.20.0.4","TCP","10202","8080  >  37682 [PSH, ACK] Seq=88329 Ack=154 Win=65024 Len=10136 TSval=3932880325 TSecr=3912369760 [TCP PDU reassembled in 108]"
"42","0.090737","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37682 [PSH, ACK] Seq=98465 Ack=154 Win=65024 Len=2896 TSval=3932880325 TSecr=3912369760 [TCP PDU reassembled in 108]"
"43","0.101240","172.20.0.4","172.20.0.3","TCP","66","37682  >  8080 [ACK] Seq=154 Ack=46337 Win=97024 Len=0 TSval=3912369770 TSecr=3932880324"
"44","0.101254","172.20.0.4","172.20.0.3","TCP","66","37682  >  8080 [ACK] Seq=154 Ack=52129 Win=91904 Len=0 TSval=3912369770 TSecr=3932880324"
"45","0.101257","172.20.0.4","172.20.0.3","TCP","66","37682  >  8080 [ACK] Seq=154 Ack=57921 Win=86784 Len=0 TSval=3912369770 TSecr=3932880324"
"46","0.101261","172.20.0.4","172.20.0.3","TCP","66","37682  >  8080 [ACK] Seq=154 Ack=65161 Win=111488 Len=0 TSval=3912369770 TSecr=3932880324"
"47","0.101264","172.20.0.4","172.20.0.3","TCP","66","37682  >  8080 [ACK] Seq=154 Ack=75297 Win=131712 Len=0 TSval=3912369770 TSecr=3932880324"
"48","0.101268","172.20.0.4","172.20.0.3","TCP","66","37682  >  8080 [ACK] Seq=154 Ack=78193 Win=137600 Len=0 TSval=3912369771 TSecr=3932880325"
"49","0.101272","172.20.0.4","172.20.0.3","TCP","66","37682  >  8080 [ACK] Seq=154 Ack=88329 Win=157824 Len=0 TSval=3912369771 TSecr=3932880325"
"50","0.101275","172.20.0.4","172.20.0.3","TCP","66","37682  >  8080 [ACK] Seq=154 Ack=98465 Win=155008 Len=0 TSval=3912369771 TSecr=3932880325"
"51","0.101279","172.20.0.4","172.20.0.3","TCP","66","37682  >  8080 [ACK] Seq=154 Ack=101361 Win=152192 Len=0 TSval=3912369771 TSecr=3932880325"
"52","0.102025","172.20.0.3","172.20.0.4","TCP","5858","8080  >  37682 [PSH, ACK] Seq=101361 Ack=154 Win=65024 Len=5792 TSval=3932880336 TSecr=3912369770 [TCP PDU reassembled in 108]"
"53","0.102148","172.20.0.3","172.20.0.4","TCP","11650","8080  >  37682 [PSH, ACK] Seq=107153 Ack=154 Win=65024 Len=11584 TSval=3932880336 TSecr=3912369770 [TCP PDU reassembled in 108]"
"54","0.102170","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37682 [PSH, ACK] Seq=118737 Ack=154 Win=65024 Len=2896 TSval=3932880336 TSecr=3912369771 [TCP PDU reassembled in 108]"
"55","0.102189","172.20.0.3","172.20.0.4","TCP","18890","8080  >  37682 [PSH, ACK] Seq=121633 Ack=154 Win=65024 Len=18824 TSval=3932880336 TSecr=3912369771 [TCP PDU reassembled in 108]"
