"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.20.0.4","172.20.0.2","DNS","59","DNS Stateful operations (DSO) 0x3733[Malformed Packet]"
"2","0.000524","172.20.0.2","172.20.0.4","DNS","70","DNS Stateful operations (DSO) 0x3733[Malformed Packet]"
"3","0.051903","172.20.0.4","172.20.0.3","TCP","74","48364  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3912434461 TSecr=0 WS=128"
"4","0.052104","172.20.0.3","172.20.0.4","TCP","74","8080  >  48364 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3932945065 TSecr=3912434461 WS=128"
"5","0.102984","172.20.0.4","172.20.0.3","TCP","66","48364  >  8080 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3912434511 TSecr=3932945065"
"6","0.102997","172.20.0.4","172.20.0.3","HTTP","219","GET /arquivo_1mb.bin HTTP/1.1 "
"7","0.103316","172.20.0.3","172.20.0.4","TCP","66","8080  >  48364 [ACK] Seq=1 Ack=154 Win=65024 Len=0 TSval=3932945116 TSecr=3912434512"
"8","0.140244","172.20.0.3","172.20.0.4","TCP","2962","8080  >  48364 [PSH, ACK] Seq=1 Ack=154 Win=65024 Len=2896 TSval=3932945153 TSecr=3912434512 [TCP PDU reassembled in 269]"
"9","0.140524","172.20.0.3","172.20.0.4","TCP","2962","8080  >  48364 [PSH, ACK] Seq=2897 Ack=154 Win=65024 Len=2896 TSval=3932945154 TSecr=3912434512 [TCP PDU reassembled in 269]"
"10","0.140583","172.20.0.3","172.20.0.4","TCP","2962","8080  >  48364 [PSH, ACK] Seq=5793 Ack=154 Win=65024 Len=2896 TSval=3932945154 TSecr=3912434512 [TCP PDU reassembled in 269]"
"11","0.140632","172.20.0.3","172.20.0.4","TCP","2962","8080  >  48364 [PSH, ACK] Seq=8689 Ack=154 Win=65024 Len=2896 TSval=3932945154 TSecr=3912434512 [TCP PDU reassembled in 269]"
"12","0.140670","172.20.0.3","172.20.0.4","TCP","2962","8080  >  48364 [PSH, ACK] Seq=11585 Ack=154 Win=65024 Len=2896 TSval=3932945154 TSecr=3912434512 [TCP PDU reassembled in 269]"
"13","0.191231","172.20.0.4","172.20.0.3","TCP","66","48364  >  8080 [ACK] Seq=154 Ack=2897 Win=70144 Len=0 TSval=3912434599 TSecr=3932945153"
"14","0.191244","172.20.0.4","172.20.0.3","TCP","66","48364  >  8080 [ACK] Seq=154 Ack=5793 Win=75904 Len=0 TSval=3912434600 TSecr=3932945154"
"15","0.191248","172.20.0.4","172.20.0.3","TCP","66","48364  >  8080 [ACK] Seq=154 Ack=8689 Win=81664 Len=0 TSval=3912434600 TSecr=3932945154"
"16","0.191251","172.20.0.4","172.20.0.3","TCP","66","48364  >  8080 [ACK] Seq=154 Ack=11585 Win=87424 Len=0 TSval=3912434600 TSecr=3932945154"
"17","0.191256","172.20.0.4","172.20.0.3","TCP","66","48364  >  8080 [ACK] Seq=154 Ack=14481 Win=93312 Len=0 TSval=3912434600 TSecr=3932945154"
"18","0.191636","172.20.0.3","172.20.0.4","TCP","2962","8080  >  48364 [PSH, ACK] Seq=14481 Ack=154 Win=65024 Len=2896 TSval=3932945205 TSecr=3912434599 [TCP PDU reassembled in 269]"
