"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.20.0.4","172.20.0.2","DNS","59","DNS Stateful operations (DSO) 0x3830[Malformed Packet]"
"2","0.001210","172.20.0.2","172.20.0.4","DNS","70","DNS Stateful operations (DSO) 0x3830[Malformed Packet]"
"3","0.052481","172.20.0.4","172.20.0.3","TCP","74","37944  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3911967124 TSecr=0 WS=128"
"4","0.052788","172.20.0.3","172.20.0.4","TCP","74","8080  >  37944 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3932477729 TSecr=3911967124 WS=128"
"5","0.103731","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3911967175 TSecr=3932477729"
"6","0.103744","172.20.0.4","172.20.0.3","HTTP","221","GET /arquivo_500kb.bin HTTP/1.1 "
"7","0.104116","172.20.0.3","172.20.0.4","TCP","66","8080  >  37944 [ACK] Seq=1 Ack=156 Win=65024 Len=0 TSval=3932477780 TSecr=3911967175"
"8","0.120648","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=1 Ack=156 Win=65024 Len=2896 TSval=3932477797 TSecr=3911967175 [TCP PDU reassembled in 207]"
"9","0.120802","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=2897 Ack=156 Win=65024 Len=2896 TSval=3932477797 TSecr=3911967175 [TCP PDU reassembled in 207]"
"10","0.120831","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=5793 Ack=156 Win=65024 Len=2896 TSval=3932477797 TSecr=3911967175 [TCP PDU reassembled in 207]"
"11","0.120849","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=8689 Ack=156 Win=65024 Len=2896 TSval=3932477797 TSecr=3911967175 [TCP PDU reassembled in 207]"
"12","0.120865","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=11585 Ack=156 Win=65024 Len=2896 TSval=3932477797 TSecr=3911967175 [TCP PDU reassembled in 207]"
"13","0.170937","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=5793 Win=75904 Len=0 TSval=3911967243 TSecr=3932477797"
"14","0.170948","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=8689 Win=81664 Len=0 TSval=3911967243 TSecr=3932477797"
"15","0.170952","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=11585 Win=85504 Len=0 TSval=3911967243 TSecr=3932477797"
"16","0.170956","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=14481 Win=88320 Len=0 TSval=3911967243 TSecr=3932477797"
"17","0.171259","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=14481 Ack=156 Win=65024 Len=2896 TSval=3932477847 TSecr=3911967243 [TCP PDU reassembled in 207]"
"18","0.171372","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=17377 Ack=156 Win=65024 Len=2896 TSval=3932477847 TSecr=3911967243 [TCP PDU reassembled in 207]"
"19","0.171446","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=20273 Ack=156 Win=65024 Len=2896 TSval=3932477848 TSecr=3911967243 [TCP PDU reassembled in 207]"
"20","0.171462","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=23169 Ack=156 Win=65024 Len=2896 TSval=3932477848 TSecr=3911967243 [TCP PDU reassembled in 207]"
"21","0.171508","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=26065 Ack=156 Win=65024 Len=2896 TSval=3932477848 TSecr=3911967243 [TCP PDU reassembled in 207]"
"22","0.171522","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=28961 Ack=156 Win=65024 Len=2896 TSval=3932477848 TSecr=3911967243 [TCP PDU reassembled in 207]"
"23","0.171566","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=31857 Ack=156 Win=65024 Len=2896 TSval=3932477848 TSecr=3911967243 [TCP PDU reassembled in 207]"
"24","0.171587","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=34753 Ack=156 Win=65024 Len=2896 TSval=3932477848 TSecr=3911967243 [TCP PDU reassembled in 207]"
"25","0.171667","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=37649 Ack=156 Win=65024 Len=2896 TSval=3932477848 TSecr=3911967243 [TCP PDU reassembled in 207]"
"26","0.171701","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=40545 Ack=156 Win=65024 Len=2896 TSval=3932477848 TSecr=3911967243 [TCP PDU reassembled in 207]"
"27","0.221617","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=17377 Win=94080 Len=0 TSval=3911967293 TSecr=3932477847"
"28","0.221630","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=20273 Win=94080 Len=0 TSval=3911967294 TSecr=3932477847"
"29","0.221632","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=23169 Win=94080 Len=0 TSval=3911967294 TSecr=3932477848"
"30","0.221634","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=26065 Win=91264 Len=0 TSval=3911967294 TSecr=3932477848"
"31","0.221637","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=28961 Win=97024 Len=0 TSval=3911967294 TSecr=3932477848"
"32","0.221639","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=31857 Win=94208 Len=0 TSval=3911967294 TSecr=3932477848"
"33","0.221649","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=34753 Win=97024 Len=0 TSval=3911967294 TSecr=3932477848"
"34","0.221651","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=37649 Win=94208 Len=0 TSval=3911967294 TSecr=3932477848"
"35","0.222072","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=43441 Ack=156 Win=65024 Len=2896 TSval=3932477898 TSecr=3911967293 [TCP PDU reassembled in 207]"
"36","0.222123","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=40545 Win=97024 Len=0 TSval=3911967294 TSecr=3932477848"
"37","0.222126","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=43441 Win=97024 Len=0 TSval=3911967294 TSecr=3932477848"
"38","0.222132","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=46337 Ack=156 Win=65024 Len=2896 TSval=3932477898 TSecr=3911967293 [TCP PDU reassembled in 207]"
"39","0.222164","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=49233 Ack=156 Win=65024 Len=2896 TSval=3932477898 TSecr=3911967294 [TCP PDU reassembled in 207]"
"40","0.222199","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=52129 Ack=156 Win=65024 Len=2896 TSval=3932477898 TSecr=3911967294 [TCP PDU reassembled in 207]"
"41","0.222223","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=55025 Ack=156 Win=65024 Len=2896 TSval=3932477898 TSecr=3911967294 [TCP PDU reassembled in 207]"
"42","0.222251","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=57921 Ack=156 Win=65024 Len=2896 TSval=3932477898 TSecr=3911967294 [TCP PDU reassembled in 207]"
"43","0.222400","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=60817 Ack=156 Win=65024 Len=2896 TSval=3932477898 TSecr=3911967294 [TCP PDU reassembled in 207]"
"44","0.222451","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=63713 Ack=156 Win=65024 Len=2896 TSval=3932477898 TSecr=3911967294 [TCP PDU reassembled in 207]"
"45","0.222483","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=66609 Ack=156 Win=65024 Len=2896 TSval=3932477898 TSecr=3911967294 [TCP PDU reassembled in 207]"
"46","0.222511","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=69505 Ack=156 Win=65024 Len=2896 TSval=3932477898 TSecr=3911967294 [TCP PDU reassembled in 207]"
"47","0.222539","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=72401 Ack=156 Win=65024 Len=2896 TSval=3932477898 TSecr=3911967294 [TCP PDU reassembled in 207]"
"48","0.222566","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=75297 Ack=156 Win=65024 Len=2896 TSval=3932477898 TSecr=3911967294 [TCP PDU reassembled in 207]"
"49","0.222589","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=78193 Ack=156 Win=65024 Len=2896 TSval=3932477898 TSecr=3911967294 [TCP PDU reassembled in 207]"
"50","0.222619","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=81089 Ack=156 Win=65024 Len=2896 TSval=3932477898 TSecr=3911967294 [TCP PDU reassembled in 207]"
"51","0.222648","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=83985 Ack=156 Win=65024 Len=2896 TSval=3932477898 TSecr=3911967294 [TCP PDU reassembled in 207]"
"52","0.222680","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=86881 Ack=156 Win=65024 Len=2896 TSval=3932477898 TSecr=3911967294 [TCP PDU reassembled in 207]"
"53","0.222782","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=89777 Ack=156 Win=65024 Len=2896 TSval=3932477899 TSecr=3911967294 [TCP PDU reassembled in 207]"
"54","0.222815","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=92673 Ack=156 Win=65024 Len=2896 TSval=3932477899 TSecr=3911967294 [TCP PDU reassembled in 207]"
"55","0.222843","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=95569 Ack=156 Win=65024 Len=2896 TSval=3932477899 TSecr=3911967294 [TCP PDU reassembled in 207]"
"56","0.222874","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=98465 Ack=156 Win=65024 Len=2896 TSval=3932477899 TSecr=3911967294 [TCP PDU reassembled in 207]"
"57","0.272339","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=46337 Win=97024 Len=0 TSval=3911967344 TSecr=3932477898"
"58","0.272352","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=49233 Win=94208 Len=0 TSval=3911967344 TSecr=3932477898"
"59","0.272355","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=52129 Win=91392 Len=0 TSval=3911967344 TSecr=3932477898"
"60","0.272358","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=55025 Win=102784 Len=0 TSval=3911967344 TSecr=3932477898"
"61","0.272361","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=57921 Win=108544 Len=0 TSval=3911967344 TSecr=3932477898"
"62","0.272364","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=60817 Win=114432 Len=0 TSval=3911967344 TSecr=3932477898"
"63","0.272709","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=101361 Ack=156 Win=65024 Len=2896 TSval=3932477949 TSecr=3911967344 [TCP PDU reassembled in 207]"
"64","0.272770","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=63713 Win=120192 Len=0 TSval=3911967345 TSecr=3932477898"
"65","0.272773","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=66609 Win=125952 Len=0 TSval=3911967345 TSecr=3932477898"
"66","0.272776","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=69505 Win=131712 Len=0 TSval=3911967345 TSecr=3932477898"
"67","0.272779","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=72401 Win=137600 Len=0 TSval=3911967345 TSecr=3932477898"
"68","0.272782","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=78193 Win=149120 Len=0 TSval=3911967345 TSecr=3932477898"
"69","0.272785","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=81089 Win=154880 Len=0 TSval=3911967345 TSecr=3932477898"
"70","0.272788","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=83985 Win=160768 Len=0 TSval=3911967345 TSecr=3932477898"
"71","0.272790","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=86881 Win=166528 Len=0 TSval=3911967345 TSecr=3932477898"
"72","0.272793","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=89777 Win=172288 Len=0 TSval=3911967345 TSecr=3932477898"
"73","0.272804","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=92673 Win=178048 Len=0 TSval=3911967345 TSecr=3932477899"
"74","0.272810","172.20.0.3","172.20.0.4","TCP","2962","8080  >  37944 [PSH, ACK] Seq=104257 Ack=156 Win=65024 Len=2896 TSval=3932477949 TSecr=3911967344 [TCP PDU reassembled in 207]"
"75","0.272844","172.20.0.4","172.20.0.3","TCP","66","37944  >  8080 [ACK] Seq=156 Ack=95569 Win=183552 Len=0 TSval=3911967345 TSecr=3932477899"
