"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.20.0.4","172.20.0.2","DNS","59","Unknown operation (7) 0x3930[Malformed Packet]"
"2","0.003767","172.20.0.2","172.20.0.4","DNS","70","Unknown operation (7) 0x3930[Malformed Packet]"
"3","0.105118","172.20.0.4","172.20.0.3","TCP","74","39146  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3911536678 TSecr=0 WS=128"
"4","0.105562","172.20.0.3","172.20.0.4","TCP","74","8080  >  39146 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3932047333 TSecr=3911536678 WS=128"
"5","0.205821","172.20.0.4","172.20.0.3","TCP","66","39146  >  8080 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3911536779 TSecr=3932047333"
"6","0.206219","172.20.0.4","172.20.0.3","HTTP","221","GET /arquivo_100kb.bin HTTP/1.1 "
"7","0.206338","172.20.0.3","172.20.0.4","TCP","66","8080  >  39146 [ACK] Seq=1 Ack=156 Win=65024 Len=0 TSval=3932047434 TSecr=3911536779"
"8","0.225606","172.20.0.3","172.20.0.4","TCP","2962","8080  >  39146 [PSH, ACK] Seq=1 Ack=156 Win=65024 Len=2896 TSval=3932047453 TSecr=3911536779 [TCP PDU reassembled in 56]"
"9","0.225780","172.20.0.3","172.20.0.4","TCP","2962","8080  >  39146 [PSH, ACK] Seq=2897 Ack=156 Win=65024 Len=2896 TSval=3932047453 TSecr=3911536779 [TCP PDU reassembled in 56]"
"10","0.225830","172.20.0.3","172.20.0.4","TCP","2962","8080  >  39146 [PSH, ACK] Seq=5793 Ack=156 Win=65024 Len=2896 TSval=3932047453 TSecr=3911536779 [TCP PDU reassembled in 56]"
"11","0.225864","172.20.0.3","172.20.0.4","TCP","2962","8080  >  39146 [PSH, ACK] Seq=8689 Ack=156 Win=65024 Len=2896 TSval=3932047453 TSecr=3911536779 [TCP PDU reassembled in 56]"
"12","0.225892","172.20.0.3","172.20.0.4","TCP","2962","8080  >  39146 [PSH, ACK] Seq=11585 Ack=156 Win=65024 Len=2896 TSval=3932047453 TSecr=3911536779 [TCP PDU reassembled in 56]"
"13","0.325898","172.20.0.4","172.20.0.3","TCP","66","39146  >  8080 [ACK] Seq=156 Ack=2897 Win=70144 Len=0 TSval=3911536899 TSecr=3932047453"
"14","0.325910","172.20.0.4","172.20.0.3","TCP","66","39146  >  8080 [ACK] Seq=156 Ack=5793 Win=75904 Len=0 TSval=3911536899 TSecr=3932047453"
"15","0.325912","172.20.0.4","172.20.0.3","TCP","66","39146  >  8080 [ACK] Seq=156 Ack=8689 Win=81664 Len=0 TSval=3911536899 TSecr=3932047453"
"16","0.325916","172.20.0.4","172.20.0.3","TCP","66","39146  >  8080 [ACK] Seq=156 Ack=11585 Win=87424 Len=0 TSval=3911536899 TSecr=3932047453"
"17","0.325919","172.20.0.4","172.20.0.3","TCP","66","39146  >  8080 [ACK] Seq=156 Ack=14481 Win=88320 Len=0 TSval=3911536899 TSecr=3932047453"
"18","0.326163","172.20.0.3","172.20.0.4","TCP","2962","8080  >  39146 [PSH, ACK] Seq=14481 Ack=156 Win=65024 Len=2896 TSval=3932047554 TSecr=3911536899 [TCP PDU reassembled in 56]"
"19","0.326281","172.20.0.3","172.20.0.4","TCP","2962","8080  >  39146 [PSH, ACK] Seq=17377 Ack=156 Win=65024 Len=2896 TSval=3932047554 TSecr=3911536899 [TCP PDU reassembled in 56]"
"20","0.326387","172.20.0.3","172.20.0.4","TCP","2962","8080  >  39146 [PSH, ACK] Seq=20273 Ack=156 Win=65024 Len=2896 TSval=3932047554 TSecr=3911536899 [TCP PDU reassembled in 56]"
"21","0.326405","172.20.0.3","172.20.0.4","TCP","2962","8080  >  39146 [PSH, ACK] Seq=23169 Ack=156 Win=65024 Len=2896 TSval=3932047554 TSecr=3911536899 [TCP PDU reassembled in 56]"
"22","0.326460","172.20.0.3","172.20.0.4","TCP","2962","8080  >  39146 [PSH, ACK] Seq=26065 Ack=156 Win=65024 Len=2896 TSval=3932047554 TSecr=3911536899 [TCP PDU reassembled in 56]"
"23","0.326475","172.20.0.3","172.20.0.4","TCP","2962","8080  >  39146 [PSH, ACK] Seq=28961 Ack=156 Win=65024 Len=2896 TSval=3932047554 TSecr=3911536899 [TCP PDU reassembled in 56]"
"24","0.326530","172.20.0.3","172.20.0.4","TCP","2962","8080  >  39146 [PSH, ACK] Seq=31857 Ack=156 Win=65024 Len=2896 TSval=3932047554 TSecr=3911536899 [TCP PDU reassembled in 56]"
"25","0.326545","172.20.0.3","172.20.0.4","TCP","2962","8080  >  39146 [PSH, ACK] Seq=34753 Ack=156 Win=65024 Len=2896 TSval=3932047554 TSecr=3911536899 [TCP PDU reassembled in 56]"
