"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.20.0.4","172.20.0.2","DNS","59","Unknown operation (7) 0x3930[Malformed Packet]"
"2","0.000557","172.20.0.2","172.20.0.4","DNS","70","Unknown operation (7) 0x3930[Malformed Packet]"
"3","0.102588","172.20.0.4","172.20.0.3","TCP","74","56682  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3912516560 TSecr=0 WS=128"
"4","0.102784","172.20.0.3","172.20.0.4","TCP","74","8080  >  56682 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3933027215 TSecr=3912516560 WS=128"
"5","0.203741","172.20.0.4","172.20.0.3","TCP","66","56682  >  8080 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3912516661 TSecr=3933027215"
"6","0.203757","172.20.0.4","172.20.0.3","HTTP","219","GET /arquivo_1mb.bin HTTP/1.1 "
"7","0.204051","172.20.0.3","172.20.0.4","TCP","66","8080  >  56682 [ACK] Seq=1 Ack=154 Win=65024 Len=0 TSval=3933027317 TSecr=3912516662"
"8","0.240864","172.20.0.3","172.20.0.4","TCP","2962","8080  >  56682 [PSH, ACK] Seq=1 Ack=154 Win=65024 Len=2896 TSval=3933027353 TSecr=3912516662 [TCP PDU reassembled in 406]"
"9","0.241137","172.20.0.3","172.20.0.4","TCP","2962","8080  >  56682 [PSH, ACK] Seq=2897 Ack=154 Win=65024 Len=2896 TSval=3933027354 TSecr=3912516662 [TCP PDU reassembled in 406]"
"10","0.241195","172.20.0.3","172.20.0.4","TCP","2962","8080  >  56682 [PSH, ACK] Seq=5793 Ack=154 Win=65024 Len=2896 TSval=3933027354 TSecr=3912516662 [TCP PDU reassembled in 406]"
"11","0.241244","172.20.0.3","172.20.0.4","TCP","2962","8080  >  56682 [PSH, ACK] Seq=8689 Ack=154 Win=65024 Len=2896 TSval=3933027354 TSecr=3912516662 [TCP PDU reassembled in 406]"
"12","0.241294","172.20.0.3","172.20.0.4","TCP","2962","8080  >  56682 [PSH, ACK] Seq=11585 Ack=154 Win=65024 Len=2896 TSval=3933027354 TSecr=3912516662 [TCP PDU reassembled in 406]"
"13","0.341347","172.20.0.4","172.20.0.3","TCP","66","56682  >  8080 [ACK] Seq=154 Ack=2897 Win=70144 Len=0 TSval=3912516799 TSecr=3933027353"
"14","0.341360","172.20.0.4","172.20.0.3","TCP","66","56682  >  8080 [ACK] Seq=154 Ack=5793 Win=75904 Len=0 TSval=3912516800 TSecr=3933027354"
"15","0.341363","172.20.0.4","172.20.0.3","TCP","66","56682  >  8080 [ACK] Seq=154 Ack=8689 Win=81664 Len=0 TSval=3912516800 TSecr=3933027354"
"16","0.341367","172.20.0.4","172.20.0.3","TCP","66","56682  >  8080 [ACK] Seq=154 Ack=14481 Win=93312 Len=0 TSval=3912516800 TSecr=3933027354"
"17","0.341623","172.20.0.3","172.20.0.4","TCP","2962","8080  >  56682 [PSH, ACK] Seq=14481 Ack=154 Win=65024 Len=2896 TSval=3933027454 TSecr=3912516799 [TCP PDU reassembled in 406]"
"18","0.341769","172.20.0.3","172.20.0.4","TCP","2962","8080  >  56682 [PSH, ACK] Seq=17377 Ack=154 Win=65024 Len=2896 TSval=3933027454 TSecr=3912516799 [TCP PDU reassembled in 406]"
"19","0.341904","172.20.0.3","172.20.0.4","TCP","2962","8080  >  56682 [PSH, ACK] Seq=20273 Ack=154 Win=65024 Len=2896 TSval=3933027454 TSecr=3912516800 [TCP PDU reassembled in 406]"
"20","0.341957","172.20.0.3","172.20.0.4","TCP","2962","8080  >  56682 [PSH, ACK] Seq=23169 Ack=154 Win=65024 Len=2896 TSval=3933027454 TSecr=3912516800 [TCP PDU reassembled in 406]"
"21","0.342020","172.20.0.3","172.20.0.4","TCP","2962","8080  >  56682 [PSH, ACK] Seq=26065 Ack=154 Win=65024 Len=2896 TSval=3933027454 TSecr=3912516800 [TCP PDU reassembled in 406]"
"22","0.342068","172.20.0.3","172.20.0.4","TCP","2962","8080  >  56682 [PSH, ACK] Seq=28961 Ack=154 Win=65024 Len=2896 TSval=3933027454 TSecr=3912516800 [TCP PDU reassembled in 406]"
"23","0.342131","172.20.0.3","172.20.0.4","TCP","2962","8080  >  56682 [PSH, ACK] Seq=31857 Ack=154 Win=65024 Len=2896 TSval=3933027454 TSecr=3912516800 [TCP PDU reassembled in 406]"
"24","0.342190","172.20.0.3","172.20.0.4","TCP","2962","8080  >  56682 [PSH, ACK] Seq=34753 Ack=154 Win=65024 Len=2896 TSval=3933027454 TSecr=3912516800 [TCP PDU reassembled in 406]"
"25","0.342252","172.20.0.3","172.20.0.4","TCP","2962","8080  >  56682 [PSH, ACK] Seq=37649 Ack=154 Win=65024 Len=2896 TSval=3933027454 TSecr=3912516800 [TCP PDU reassembled in 406]"
"26","0.342304","172.20.0.3","172.20.0.4","TCP","2962","8080  >  56682 [PSH, ACK] Seq=40545 Ack=154 Win=65024 Len=2896 TSval=3933027454 TSecr=3912516800 [TCP PDU reassembled in 406]"
"27","0.442570","172.20.0.4","172.20.0.3","TCP","66","56682  >  8080 [ACK] Seq=154 Ack=17377 Win=97024 Len=0 TSval=3912516900 TSecr=3933027454"
"28","0.442582","172.20.0.4","172.20.0.3","TCP","66","56682  >  8080 [ACK] Seq=154 Ack=20273 Win=94208 Len=0 TSval=3912516900 TSecr=3933027454"
"29","0.442585","172.20.0.4","172.20.0.3","TCP","66","56682  >  8080 [ACK] Seq=154 Ack=23169 Win=97024 Len=0 TSval=3912516901 TSecr=3933027454"
"30","0.442587","172.20.0.4","172.20.0.3","TCP","66","56682  >  8080 [ACK] Seq=154 Ack=26065 Win=97024 Len=0 TSval=3912516901 TSecr=3933027454"
"31","0.442590","172.20.0.4","172.20.0.3","TCP","66","56682  >  8080 [ACK] Seq=154 Ack=28961 Win=97024 Len=0 TSval=3912516901 TSecr=3933027454"
"32","0.442593","172.20.0.4","172.20.0.3","TCP","66","56682  >  8080 [ACK] Seq=154 Ack=31857 Win=97024 Len=0 TSval=3912516901 TSecr=3933027454"
"33","0.442596","172.20.0.4","172.20.0.3","TCP","66","56682  >  8080 [ACK] Seq=154 Ack=34753 Win=97024 Len=0 TSval=3912516901 TSecr=3933027454"
"34","0.442599","172.20.0.4","172.20.0.3","TCP","66","56682  >  8080 [ACK] Seq=154 Ack=37649 Win=97024 Len=0 TSval=3912516901 TSecr=3933027454"
"35","0.442602","172.20.0.4","172.20.0.3","TCP","66","56682  >  8080 [ACK] Seq=154 Ack=40545 Win=97024 Len=0 TSval=3912516901 TSecr=3933027454"
"36","0.442606","172.20.0.4","172.20.0.3","TCP","66","56682  >  8080 [ACK] Seq=154 Ack=43441 Win=97024 Len=0 TSval=3912516901 TSecr=3933027454"
"37","0.442974","172.20.0.3","172.20.0.4","TCP","2962","8080  >  56682 [PSH, ACK] Seq=43441 Ack=154 Win=65024 Len=2896 TSval=3933027555 TSecr=3912516900 [TCP PDU reassembled in 406]"
"38","0.443118","172.20.0.3","172.20.0.4","TCP","2962","8080  >  56682 [PSH, ACK] Seq=46337 Ack=154 Win=65024 Len=2896 TSval=3933027555 TSecr=3912516900 [TCP PDU reassembled in 406]"
