Data/Hora,Protocolo,Cenário,Arquivo,Duração(s),Throughput(KB/s)
2026-06-25 21:02:22,DNS-RUDP,cenarioA,arquivo_1mb.bin,0.0123,0.00
2026-06-25 21:02:27,DNS-RUDP,cenarioA,arquivo_1mb.bin,0.0124,0.00
2026-06-25 21:02:32,DNS-RUDP,cenarioA,arquivo_1mb.bin,0.0130,0.00
2026-06-25 21:02:36,DNS-RUDP,cenarioA,arquivo_1mb.bin,0.0128,0.00
2026-06-25 21:02:41,DNS-RUDP,cenarioA,arquivo_1mb.bin,0.0125,0.00
2026-06-25 21:02:46,DNS-RUDP,cenarioA,arquivo_1mb.bin,0.0126,0.00
2026-06-25 21:02:50,DNS-RUDP,cenarioA,arquivo_1mb.bin,0.0130,0.00
2026-06-25 21:02:55,DNS-RUDP,cenarioA,arquivo_1mb.bin,0.0124,0.00
2026-06-25 21:03:00,DNS-RUDP,cenarioA,arquivo_1mb.bin,0.0125,0.00
2026-06-25 21:03:05,DNS-RUDP,cenarioA,arquivo_1mb.bin,0.0127,0.00
2026-06-25 21:03:49,DNS-RUDP,cenarioB,arquivo_1mb.bin,0.0536,0.00
2026-06-25 21:04:11,DNS-RUDP,cenarioB,arquivo_1mb.bin,0.0569,0.00
2026-06-25 21:04:30,DNS-RUDP,cenarioB,arquivo_1mb.bin,0.0538,0.00
2026-06-25 21:04:54,DNS-RUDP,cenarioB,arquivo_1mb.bin,0.0529,0.00
2026-06-25 21:05:16,DNS-RUDP,cenarioB,arquivo_1mb.bin,0.0534,0.00
2026-06-25 21:05:43,DNS-RUDP,cenarioB,arquivo_1mb.bin,2.0603,0.00
2026-06-25 21:06:04,DNS-RUDP,cenarioB,arquivo_1mb.bin,0.0536,0.00
2026-06-25 21:06:26,DNS-RUDP,cenarioB,arquivo_1mb.bin,0.0531,0.00
2026-06-25 21:06:48,DNS-RUDP,cenarioB,arquivo_1mb.bin,0.0539,0.00
2026-06-25 21:07:12,DNS-RUDP,cenarioB,arquivo_1mb.bin,0.0556,0.00
2026-06-25 21:08:38,DNS-RUDP,cenarioC,arquivo_1mb.bin,4.1124,0.00
2026-06-25 21:09:20,DNS-RUDP,cenarioC,arquivo_1mb.bin,2.1081,0.00
2026-06-25 21:10:00,DNS-RUDP,cenarioC,arquivo_1mb.bin,0.1029,0.00
2026-06-25 21:10:46,DNS-RUDP,cenarioC,arquivo_1mb.bin,0.1034,0.00
2026-06-25 21:11:32,DNS-RUDP,cenarioC,arquivo_1mb.bin,0.1034,0.00
2026-06-25 21:12:14,DNS-RUDP,cenarioC,arquivo_1mb.bin,0.1033,0.00
2026-06-25 21:12:58,DNS-RUDP,cenarioC,arquivo_1mb.bin,0.1056,0.00
2026-06-25 21:13:45,DNS-RUDP,cenarioC,arquivo_1mb.bin,0.1041,0.00
2026-06-25 21:14:26,DNS-RUDP,cenarioC,arquivo_1mb.bin,0.1038,0.00
2026-06-25 21:15:09,DNS-RUDP,cenarioC,arquivo_1mb.bin,0.1030,0.00
