Data/Hora,Protocolo,Cenário,Arquivo,Duração(s),Throughput(KB/s)
2026-06-25 20:52:58,DNS-RUDP,cenarioA,arquivo_500kb.bin,0.0153,0.00
2026-06-25 20:53:01,DNS-RUDP,cenarioA,arquivo_500kb.bin,0.0131,0.00
2026-06-25 20:53:04,DNS-RUDP,cenarioA,arquivo_500kb.bin,0.0128,0.00
2026-06-25 20:53:07,DNS-RUDP,cenarioA,arquivo_500kb.bin,0.0126,0.00
2026-06-25 20:53:10,DNS-RUDP,cenarioA,arquivo_500kb.bin,0.0132,0.00
2026-06-25 20:53:13,DNS-RUDP,cenarioA,arquivo_500kb.bin,0.0127,0.00
2026-06-25 20:53:16,DNS-RUDP,cenarioA,arquivo_500kb.bin,0.0125,0.00
2026-06-25 20:53:19,DNS-RUDP,cenarioA,arquivo_500kb.bin,0.0125,0.00
2026-06-25 20:53:22,DNS-RUDP,cenarioA,arquivo_500kb.bin,0.0136,0.00
2026-06-25 20:53:25,DNS-RUDP,cenarioA,arquivo_500kb.bin,0.0134,0.00
2026-06-25 20:54:19,DNS-RUDP,cenarioB,arquivo_500kb.bin,0.0540,0.00
2026-06-25 20:54:30,DNS-RUDP,cenarioB,arquivo_500kb.bin,0.0536,0.00
2026-06-25 20:54:41,DNS-RUDP,cenarioB,arquivo_500kb.bin,0.0533,0.00
2026-06-25 20:54:51,DNS-RUDP,cenarioB,arquivo_500kb.bin,0.0534,0.00
2026-06-25 20:55:01,DNS-RUDP,cenarioB,arquivo_500kb.bin,0.0527,0.00
2026-06-25 20:55:12,DNS-RUDP,cenarioB,arquivo_500kb.bin,0.0537,0.00
2026-06-25 20:55:25,DNS-RUDP,cenarioB,arquivo_500kb.bin,0.0532,0.00
2026-06-25 20:55:34,DNS-RUDP,cenarioB,arquivo_500kb.bin,0.0536,0.00
2026-06-25 20:55:46,DNS-RUDP,cenarioB,arquivo_500kb.bin,0.0539,0.00
2026-06-25 20:55:56,DNS-RUDP,cenarioB,arquivo_500kb.bin,0.0526,0.00
2026-06-25 20:57:48,DNS-RUDP,cenarioC,arquivo_500kb.bin,0.1038,0.00
2026-06-25 20:58:09,DNS-RUDP,cenarioC,arquivo_500kb.bin,0.1033,0.00
2026-06-25 20:58:31,DNS-RUDP,cenarioC,arquivo_500kb.bin,0.1036,0.00
2026-06-25 20:58:56,DNS-RUDP,cenarioC,arquivo_500kb.bin,2.1081,0.00
2026-06-25 20:59:22,DNS-RUDP,cenarioC,arquivo_500kb.bin,0.1030,0.00
2026-06-25 20:59:41,DNS-RUDP,cenarioC,arquivo_500kb.bin,2.1076,0.00
2026-06-25 21:00:06,DNS-RUDP,cenarioC,arquivo_500kb.bin,0.1051,0.00
2026-06-25 21:00:28,DNS-RUDP,cenarioC,arquivo_500kb.bin,0.1029,0.00
2026-06-25 21:00:54,DNS-RUDP,cenarioC,arquivo_500kb.bin,0.1039,0.00
2026-06-25 21:01:20,DNS-RUDP,cenarioC,arquivo_500kb.bin,2.1114,0.00
