Data/Hora,Protocolo,Cenário,Arquivo,Duração(s),Throughput(KB/s)
2026-06-25 14:35:32,DNS-TCP,cenarioA,arquivo_100kb.bin,0.0157,0.00
2026-06-25 14:35:34,DNS-TCP,cenarioA,arquivo_100kb.bin,0.0135,0.00
2026-06-25 14:35:36,DNS-TCP,cenarioA,arquivo_100kb.bin,0.0123,0.00
2026-06-25 14:35:37,DNS-TCP,cenarioA,arquivo_100kb.bin,0.0127,0.00
2026-06-25 14:35:38,DNS-TCP,cenarioA,arquivo_100kb.bin,0.0129,0.00
2026-06-25 14:35:40,DNS-TCP,cenarioA,arquivo_100kb.bin,0.0127,0.00
2026-06-25 14:35:42,DNS-TCP,cenarioA,arquivo_100kb.bin,0.0125,0.00
2026-06-25 14:35:43,DNS-TCP,cenarioA,arquivo_100kb.bin,0.0133,0.00
2026-06-25 14:35:45,DNS-TCP,cenarioA,arquivo_100kb.bin,0.0133,0.00
2026-06-25 14:35:47,DNS-TCP,cenarioA,arquivo_100kb.bin,0.0144,0.00
2026-06-25 14:36:33,DNS-TCP,cenarioB,arquivo_100kb.bin,0.0553,0.00
2026-06-25 14:36:35,DNS-TCP,cenarioB,arquivo_100kb.bin,0.0531,0.00
2026-06-25 14:36:37,DNS-TCP,cenarioB,arquivo_100kb.bin,0.0538,0.00
2026-06-25 14:36:39,DNS-TCP,cenarioB,arquivo_100kb.bin,0.0537,0.00
2026-06-25 14:36:40,DNS-TCP,cenarioB,arquivo_100kb.bin,0.0529,0.00
2026-06-25 14:36:42,DNS-TCP,cenarioB,arquivo_100kb.bin,0.0529,0.00
2026-06-25 14:36:44,DNS-TCP,cenarioB,arquivo_100kb.bin,0.0527,0.00
2026-06-25 14:36:46,DNS-TCP,cenarioB,arquivo_100kb.bin,0.0533,0.00
2026-06-25 14:36:48,DNS-TCP,cenarioB,arquivo_100kb.bin,0.0534,0.00
2026-06-25 14:36:51,DNS-TCP,cenarioB,arquivo_100kb.bin,0.0534,0.00
2026-06-25 14:37:56,DNS-TCP,cenarioC,arquivo_100kb.bin,0.1105,0.00
2026-06-25 14:37:58,DNS-TCP,cenarioC,arquivo_100kb.bin,0.1053,0.00
2026-06-25 14:38:00,DNS-TCP,cenarioC,arquivo_100kb.bin,0.1028,0.00
2026-06-25 14:38:02,DNS-TCP,cenarioC,arquivo_100kb.bin,0.1038,0.00
2026-06-25 14:38:04,DNS-TCP,cenarioC,arquivo_100kb.bin,0.1034,0.00
2026-06-25 14:38:06,DNS-TCP,cenarioC,arquivo_100kb.bin,0.1026,0.00
2026-06-25 14:38:12,DNS-TCP,cenarioC,arquivo_100kb.bin,0.1035,0.00
2026-06-25 14:38:14,DNS-TCP,cenarioC,arquivo_100kb.bin,0.1039,0.00
2026-06-25 14:38:16,DNS-TCP,cenarioC,arquivo_100kb.bin,0.1026,0.00
