Data/Hora,Protocolo,Cenário,Arquivo,Duração(s),Throughput(KB/s)
2026-06-25 14:51:49,DNS-TCP,cenarioA,arquivo_1mb.bin,0.0165,0.00
2026-06-25 14:51:51,DNS-TCP,cenarioA,arquivo_1mb.bin,0.0131,0.00
2026-06-25 14:51:53,DNS-TCP,cenarioA,arquivo_1mb.bin,0.0124,0.00
2026-06-25 14:51:54,DNS-TCP,cenarioA,arquivo_1mb.bin,0.0124,0.00
2026-06-25 14:51:56,DNS-TCP,cenarioA,arquivo_1mb.bin,0.0124,0.00
2026-06-25 14:51:58,DNS-TCP,cenarioA,arquivo_1mb.bin,0.0123,0.00
2026-06-25 14:52:00,DNS-TCP,cenarioA,arquivo_1mb.bin,0.0133,0.00
2026-06-25 14:52:02,DNS-TCP,cenarioA,arquivo_1mb.bin,0.0127,0.00
2026-06-25 14:52:03,DNS-TCP,cenarioA,arquivo_1mb.bin,0.0132,0.00
2026-06-25 14:52:05,DNS-TCP,cenarioA,arquivo_1mb.bin,0.0126,0.00
2026-06-25 14:52:54,DNS-TCP,cenarioB,arquivo_1mb.bin,0.0560,0.00
2026-06-25 14:52:56,DNS-TCP,cenarioB,arquivo_1mb.bin,0.0528,0.00
2026-06-25 14:52:58,DNS-TCP,cenarioB,arquivo_1mb.bin,0.0529,0.00
2026-06-25 14:53:00,DNS-TCP,cenarioB,arquivo_1mb.bin,0.0527,0.00
2026-06-25 14:53:02,DNS-TCP,cenarioB,arquivo_1mb.bin,0.0531,0.00
2026-06-25 14:53:05,DNS-TCP,cenarioB,arquivo_1mb.bin,0.0526,0.00
2026-06-25 14:53:11,DNS-TCP,cenarioB,arquivo_1mb.bin,0.0530,0.00
2026-06-25 14:53:13,DNS-TCP,cenarioB,arquivo_1mb.bin,0.0532,0.00
2026-06-25 14:53:15,DNS-TCP,cenarioB,arquivo_1mb.bin,0.0538,0.00
2026-06-25 14:54:16,DNS-TCP,cenarioC,arquivo_1mb.bin,0.1061,0.00
2026-06-25 14:54:19,DNS-TCP,cenarioC,arquivo_1mb.bin,0.1032,0.00
2026-06-25 14:54:22,DNS-TCP,cenarioC,arquivo_1mb.bin,0.1033,0.00
2026-06-25 14:54:29,DNS-TCP,cenarioC,arquivo_1mb.bin,0.1034,0.00
2026-06-25 14:54:31,DNS-TCP,cenarioC,arquivo_1mb.bin,0.1033,0.00
2026-06-25 14:54:34,DNS-TCP,cenarioC,arquivo_1mb.bin,0.1026,0.00
2026-06-25 14:54:37,DNS-TCP,cenarioC,arquivo_1mb.bin,0.1027,0.00
2026-06-25 14:54:39,DNS-TCP,cenarioC,arquivo_1mb.bin,0.1037,0.00
2026-06-25 14:54:41,DNS-TCP,cenarioC,arquivo_1mb.bin,0.1031,0.00
