Data/Hora,Protocolo,Cenário,Arquivo,Duração(s),Throughput(KB/s)
2026-06-25 20:47:49,HTTP-RUDP,cenarioA,arquivo_100kb.bin,0.3383,295.57
2026-06-25 20:47:51,HTTP-RUDP,cenarioA,arquivo_100kb.bin,0.3556,281.22
2026-06-25 20:47:52,HTTP-RUDP,cenarioA,arquivo_100kb.bin,0.3429,291.66
2026-06-25 20:47:54,HTTP-RUDP,cenarioA,arquivo_100kb.bin,0.3394,294.67
2026-06-25 20:47:56,HTTP-RUDP,cenarioA,arquivo_100kb.bin,0.3351,298.44
2026-06-25 20:47:58,HTTP-RUDP,cenarioA,arquivo_100kb.bin,0.3314,301.77
2026-06-25 20:48:00,HTTP-RUDP,cenarioA,arquivo_100kb.bin,0.3352,298.37
2026-06-25 20:48:01,HTTP-RUDP,cenarioA,arquivo_100kb.bin,0.3359,297.70
2026-06-25 20:48:03,HTTP-RUDP,cenarioA,arquivo_100kb.bin,0.3432,291.38
2026-06-25 20:48:05,HTTP-RUDP,cenarioA,arquivo_100kb.bin,0.3321,301.15
2026-06-25 20:49:11,HTTP-RUDP,cenarioB,arquivo_100kb.bin,2.4802,40.32
2026-06-25 20:49:15,HTTP-RUDP,cenarioB,arquivo_100kb.bin,1.9699,50.76
2026-06-25 20:49:19,HTTP-RUDP,cenarioB,arquivo_100kb.bin,2.9703,33.67
2026-06-25 20:49:24,HTTP-RUDP,cenarioB,arquivo_100kb.bin,2.9715,33.65
2026-06-25 20:49:28,HTTP-RUDP,cenarioB,arquivo_100kb.bin,2.4706,40.48
2026-06-25 20:49:33,HTTP-RUDP,cenarioB,arquivo_100kb.bin,3.4734,28.79
2026-06-25 20:49:37,HTTP-RUDP,cenarioB,arquivo_100kb.bin,2.4799,40.32
2026-06-25 20:49:41,HTTP-RUDP,cenarioB,arquivo_100kb.bin,2.9738,33.63
2026-06-25 20:49:49,HTTP-RUDP,cenarioB,arquivo_100kb.bin,1.9713,50.73
2026-06-25 20:49:53,HTTP-RUDP,cenarioB,arquivo_100kb.bin,2.9713,33.66
2026-06-25 20:50:46,HTTP-RUDP,cenarioC,arquivo_100kb.bin,3.3751,29.63
2026-06-25 20:50:53,HTTP-RUDP,cenarioC,arquivo_100kb.bin,4.8773,20.50
2026-06-25 20:50:59,HTTP-RUDP,cenarioC,arquivo_100kb.bin,4.3680,22.89
2026-06-25 20:51:04,HTTP-RUDP,cenarioC,arquivo_100kb.bin,3.3726,29.65
2026-06-25 20:51:10,HTTP-RUDP,cenarioC,arquivo_100kb.bin,4.3742,22.86
2026-06-25 20:51:15,HTTP-RUDP,cenarioC,arquivo_100kb.bin,3.8729,25.82
2026-06-25 20:51:21,HTTP-RUDP,cenarioC,arquivo_100kb.bin,3.8768,25.79
2026-06-25 20:51:28,HTTP-RUDP,cenarioC,arquivo_100kb.bin,5.3774,18.60
2026-06-25 20:51:35,HTTP-RUDP,cenarioC,arquivo_100kb.bin,5.8821,17.00
2026-06-25 20:51:42,HTTP-RUDP,cenarioC,arquivo_100kb.bin,5.3791,18.59
