Data/Hora,Protocolo,Cenário,Arquivo,Duração(s),Throughput(KB/s)
2026-06-25 14:35:32,HTTP-TCP,cenarioA,arquivo_100kb.bin,0.0562,1780.71
2026-06-25 14:35:34,HTTP-TCP,cenarioA,arquivo_100kb.bin,0.0567,1764.05
2026-06-25 14:35:36,HTTP-TCP,cenarioA,arquivo_100kb.bin,0.0542,1845.50
2026-06-25 14:35:37,HTTP-TCP,cenarioA,arquivo_100kb.bin,0.0568,1759.06
2026-06-25 14:35:38,HTTP-TCP,cenarioA,arquivo_100kb.bin,0.0536,1867.05
2026-06-25 14:35:40,HTTP-TCP,cenarioA,arquivo_100kb.bin,0.0659,1518.21
2026-06-25 14:35:42,HTTP-TCP,cenarioA,arquivo_100kb.bin,0.0569,1757.89
2026-06-25 14:35:43,HTTP-TCP,cenarioA,arquivo_100kb.bin,0.0661,1512.84
2026-06-25 14:35:45,HTTP-TCP,cenarioA,arquivo_100kb.bin,0.0578,1728.90
2026-06-25 14:35:47,HTTP-TCP,cenarioA,arquivo_100kb.bin,0.0602,1660.65
2026-06-25 14:36:33,HTTP-TCP,cenarioB,arquivo_100kb.bin,0.2163,462.24
2026-06-25 14:36:35,HTTP-TCP,cenarioB,arquivo_100kb.bin,0.2708,369.31
2026-06-25 14:36:37,HTTP-TCP,cenarioB,arquivo_100kb.bin,0.2215,451.40
2026-06-25 14:36:39,HTTP-TCP,cenarioB,arquivo_100kb.bin,0.2204,453.62
2026-06-25 14:36:41,HTTP-TCP,cenarioB,arquivo_100kb.bin,0.2189,456.79
2026-06-25 14:36:42,HTTP-TCP,cenarioB,arquivo_100kb.bin,0.2208,452.90
2026-06-25 14:36:44,HTTP-TCP,cenarioB,arquivo_100kb.bin,0.2172,460.42
2026-06-25 14:36:46,HTTP-TCP,cenarioB,arquivo_100kb.bin,0.2188,457.04
2026-06-25 14:36:48,HTTP-TCP,cenarioB,arquivo_100kb.bin,0.2201,454.29
2026-06-25 14:36:51,HTTP-TCP,cenarioB,arquivo_100kb.bin,1.3384,74.72
2026-06-25 14:37:56,HTTP-TCP,cenarioC,arquivo_100kb.bin,0.4244,235.64
2026-06-25 14:37:58,HTTP-TCP,cenarioC,arquivo_100kb.bin,0.4216,237.21
2026-06-25 14:38:00,HTTP-TCP,cenarioC,arquivo_100kb.bin,0.4213,237.39
2026-06-25 14:38:02,HTTP-TCP,cenarioC,arquivo_100kb.bin,0.4210,237.52
2026-06-25 14:38:04,HTTP-TCP,cenarioC,arquivo_100kb.bin,0.4189,238.73
2026-06-25 14:38:06,HTTP-TCP,cenarioC,arquivo_100kb.bin,0.4158,240.53
2026-06-25 14:38:12,HTTP-TCP,cenarioC,arquivo_100kb.bin,0.7237,138.19
2026-06-25 14:38:14,HTTP-TCP,cenarioC,arquivo_100kb.bin,0.5245,190.67
2026-06-25 14:38:16,HTTP-TCP,cenarioC,arquivo_100kb.bin,0.5190,192.69
