Data/Hora,Protocolo,Cenário,Arquivo,Duração(s),Throughput(KB/s)
2026-06-25 14:51:49,HTTP-TCP,cenarioA,arquivo_1mb.bin,0.3081,3324.01
2026-06-25 14:51:51,HTTP-TCP,cenarioA,arquivo_1mb.bin,0.2964,3454.89
2026-06-25 14:51:53,HTTP-TCP,cenarioA,arquivo_1mb.bin,0.3014,3397.54
2026-06-25 14:51:54,HTTP-TCP,cenarioA,arquivo_1mb.bin,0.2858,3582.84
2026-06-25 14:51:56,HTTP-TCP,cenarioA,arquivo_1mb.bin,0.3162,3238.34
2026-06-25 14:51:58,HTTP-TCP,cenarioA,arquivo_1mb.bin,0.2827,3622.43
2026-06-25 14:52:00,HTTP-TCP,cenarioA,arquivo_1mb.bin,0.3357,3050.18
2026-06-25 14:52:02,HTTP-TCP,cenarioA,arquivo_1mb.bin,0.3336,3070.00
2026-06-25 14:52:04,HTTP-TCP,cenarioA,arquivo_1mb.bin,0.3161,3239.68
2026-06-25 14:52:05,HTTP-TCP,cenarioA,arquivo_1mb.bin,0.4873,2101.37
2026-06-25 14:52:54,HTTP-TCP,cenarioB,arquivo_1mb.bin,0.5766,1776.05
2026-06-25 14:52:56,HTTP-TCP,cenarioB,arquivo_1mb.bin,0.5924,1728.49
2026-06-25 14:52:58,HTTP-TCP,cenarioB,arquivo_1mb.bin,0.5469,1872.27
2026-06-25 14:53:00,HTTP-TCP,cenarioB,arquivo_1mb.bin,0.5592,1831.20
2026-06-25 14:53:02,HTTP-TCP,cenarioB,arquivo_1mb.bin,0.5420,1889.22
2026-06-25 14:53:05,HTTP-TCP,cenarioB,arquivo_1mb.bin,1.5807,647.81
2026-06-25 14:53:11,HTTP-TCP,cenarioB,arquivo_1mb.bin,0.8144,1257.37
2026-06-25 14:53:13,HTTP-TCP,cenarioB,arquivo_1mb.bin,0.5695,1798.18
2026-06-25 14:53:15,HTTP-TCP,cenarioB,arquivo_1mb.bin,0.6151,1664.66
2026-06-25 14:54:16,HTTP-TCP,cenarioC,arquivo_1mb.bin,0.9261,1105.70
2026-06-25 14:54:19,HTTP-TCP,cenarioC,arquivo_1mb.bin,1.2409,825.22
2026-06-25 14:54:22,HTTP-TCP,cenarioC,arquivo_1mb.bin,0.9530,1074.52
2026-06-25 14:54:29,HTTP-TCP,cenarioC,arquivo_1mb.bin,2.0094,509.61
2026-06-25 14:54:31,HTTP-TCP,cenarioC,arquivo_1mb.bin,1.2541,816.50
2026-06-25 14:54:34,HTTP-TCP,cenarioC,arquivo_1mb.bin,0.9816,1043.19
2026-06-25 14:54:37,HTTP-TCP,cenarioC,arquivo_1mb.bin,0.9077,1128.18
2026-06-25 14:54:39,HTTP-TCP,cenarioC,arquivo_1mb.bin,0.9534,1074.08
2026-06-25 14:54:41,HTTP-TCP,cenarioC,arquivo_1mb.bin,0.9157,1118.27
