Fonte,Protocolo,Cenário,Tamanho,Duração(s),Throughput(KB/s)
Aplicação,RUDP,cenarioA,1MB,3.2367,316.38
Aplicação,RUDP,cenarioA,1MB,3.2373,316.32
Aplicação,RUDP,cenarioA,1MB,3.2238,317.64
Aplicação,RUDP,cenarioA,1MB,3.2449,315.57
Aplicação,RUDP,cenarioA,1MB,3.226,317.42
Aplicação,RUDP,cenarioA,1MB,3.2043,319.57
Aplicação,RUDP,cenarioA,1MB,3.217,318.31
Aplicação,RUDP,cenarioA,1MB,3.2233,317.69
Aplicação,RUDP,cenarioA,1MB,3.2432,315.74
Aplicação,RUDP,cenarioA,1MB,3.2337,316.67
Captura,RUDP,cenarioA,1MB,3.2364,316.4
Captura,RUDP,cenarioA,1MB,3.2369,316.35
Captura,RUDP,cenarioA,1MB,3.2232,317.7
Captura,RUDP,cenarioA,1MB,3.2447,315.59
Captura,RUDP,cenarioA,1MB,3.2253,317.49
Captura,RUDP,cenarioA,1MB,3.2041,319.59
Captura,RUDP,cenarioA,1MB,3.2162,318.39
Captura,RUDP,cenarioA,1MB,3.223,317.71
Captura,RUDP,cenarioA,1MB,3.2426,315.8
Captura,RUDP,cenarioA,1MB,3.2334,316.69
Aplicação,RUDP,cenarioB,1MB,17.8121,57.49
Aplicação,RUDP,cenarioB,1MB,19.6949,51.99
Aplicação,RUDP,cenarioB,1MB,18.1939,56.28
Aplicação,RUDP,cenarioB,1MB,21.8317,46.9
Aplicação,RUDP,cenarioB,1MB,20.8227,49.18
Aplicação,RUDP,cenarioB,1MB,22.8342,44.85
Aplicação,RUDP,cenarioB,1MB,19.7067,51.96
Aplicação,RUDP,cenarioB,1MB,19.8219,51.66
Aplicação,RUDP,cenarioB,1MB,20.8335,49.15
Aplicação,RUDP,cenarioB,1MB,22.2007,46.12
Captura,RUDP,cenarioB,1MB,17.8116,57.49
Captura,RUDP,cenarioB,1MB,19.6945,51.99
Captura,RUDP,cenarioB,1MB,18.1935,56.28
Captura,RUDP,cenarioB,1MB,21.8312,46.91
Captura,RUDP,cenarioB,1MB,20.8221,49.18
Captura,RUDP,cenarioB,1MB,22.8332,44.85
Captura,RUDP,cenarioB,1MB,19.2038,53.32
Captura,RUDP,cenarioB,1MB,19.8216,51.66
Captura,RUDP,cenarioB,1MB,20.833,49.15
Captura,RUDP,cenarioB,1MB,22.1997,46.13
Aplicação,RUDP,cenarioC,1MB,42.3065,24.2
Aplicação,RUDP,cenarioC,1MB,38.6699,26.48
Aplicação,RUDP,cenarioC,1MB,38.1649,26.83
Aplicação,RUDP,cenarioC,1MB,44.1903,23.17
Aplicação,RUDP,cenarioC,1MB,44.3171,23.11
Aplicação,RUDP,cenarioC,1MB,40.154,25.5
Aplicação,RUDP,cenarioC,1MB,42.1859,24.27
Aplicação,RUDP,cenarioC,1MB,45.7185,22.4
Aplicação,RUDP,cenarioC,1MB,39.1795,26.14
Aplicação,RUDP,cenarioC,1MB,41.3132,24.79
Captura,RUDP,cenarioC,1MB,42.3051,24.21
Captura,RUDP,cenarioC,1MB,38.6686,26.48
Captura,RUDP,cenarioC,1MB,37.1621,27.55
Captura,RUDP,cenarioC,1MB,44.1892,23.17
Captura,RUDP,cenarioC,1MB,44.3167,23.11
Captura,RUDP,cenarioC,1MB,40.1534,25.5
Captura,RUDP,cenarioC,1MB,42.1852,24.27
Captura,RUDP,cenarioC,1MB,45.7173,22.4
Captura,RUDP,cenarioC,1MB,39.1782,26.14
Captura,RUDP,cenarioC,1MB,41.3118,24.79
Aplicação,TCP,cenarioA,1MB,0.3081,3324.01
Aplicação,TCP,cenarioA,1MB,0.2964,3454.89
Aplicação,TCP,cenarioA,1MB,0.3014,3397.54
Aplicação,TCP,cenarioA,1MB,0.2858,3582.84
Aplicação,TCP,cenarioA,1MB,0.3162,3238.34
Aplicação,TCP,cenarioA,1MB,0.2827,3622.43
Aplicação,TCP,cenarioA,1MB,0.3357,3050.18
Aplicação,TCP,cenarioA,1MB,0.3336,3070.0
Aplicação,TCP,cenarioA,1MB,0.3161,3239.68
Aplicação,TCP,cenarioA,1MB,0.4873,2101.37
Captura,TCP,cenarioA,1MB,0.3077,3327.83
Captura,TCP,cenarioA,1MB,0.296,3459.56
Captura,TCP,cenarioA,1MB,0.3012,3399.58
Captura,TCP,cenarioA,1MB,0.2856,3585.79
Captura,TCP,cenarioA,1MB,0.3156,3244.55
Captura,TCP,cenarioA,1MB,0.2825,3624.82
Captura,TCP,cenarioA,1MB,0.3356,3051.69
Captura,TCP,cenarioA,1MB,0.3331,3074.07
Captura,TCP,cenarioA,1MB,0.3152,3248.41
Captura,TCP,cenarioA,1MB,0.4867,2103.85
Aplicação,TCP,cenarioB,1MB,0.5766,1776.05
Aplicação,TCP,cenarioB,1MB,0.5924,1728.49
Aplicação,TCP,cenarioB,1MB,0.5469,1872.27
Aplicação,TCP,cenarioB,1MB,0.5592,1831.2
Aplicação,TCP,cenarioB,1MB,0.542,1889.22
Aplicação,TCP,cenarioB,1MB,1.5807,647.81
Aplicação,TCP,cenarioB,1MB,0.8144,1257.37
Aplicação,TCP,cenarioB,1MB,0.5695,1798.18
Aplicação,TCP,cenarioB,1MB,0.6151,1664.66
Captura,TCP,cenarioB,1MB,0.5758,1778.29
Captura,TCP,cenarioB,1MB,0.5917,1730.65
Captura,TCP,cenarioB,1MB,0.8188,1250.57
Captura,TCP,cenarioB,1MB,0.5582,1834.52
Captura,TCP,cenarioB,1MB,0.5411,1892.41
Captura,TCP,cenarioB,1MB,0.5656,1810.43
Captura,TCP,cenarioB,1MB,0.8132,1259.19
Captura,TCP,cenarioB,1MB,0.5687,1800.52
Captura,TCP,cenarioB,1MB,0.6148,1665.6
Aplicação,TCP,cenarioC,1MB,0.9261,1105.7
Aplicação,TCP,cenarioC,1MB,1.2409,825.22
Aplicação,TCP,cenarioC,1MB,0.953,1074.52
Aplicação,TCP,cenarioC,1MB,2.0094,509.61
Aplicação,TCP,cenarioC,1MB,1.2541,816.5
Aplicação,TCP,cenarioC,1MB,0.9816,1043.19
Aplicação,TCP,cenarioC,1MB,0.9077,1128.18
Aplicação,TCP,cenarioC,1MB,0.9534,1074.08
Aplicação,TCP,cenarioC,1MB,0.9157,1118.27
Captura,TCP,cenarioC,1MB,0.925,1107.04
Captura,TCP,cenarioC,1MB,1.5813,647.56
Captura,TCP,cenarioC,1MB,0.9524,1075.22
Captura,TCP,cenarioC,1MB,0.9775,1047.6
Captura,TCP,cenarioC,1MB,1.2539,816.64
Captura,TCP,cenarioC,1MB,0.9813,1043.52
Captura,TCP,cenarioC,1MB,0.9069,1129.12
Captura,TCP,cenarioC,1MB,0.9531,1074.36
Captura,TCP,cenarioC,1MB,0.9154,1118.68
