Fonte,Protocolo,Cenário,Tamanho,Duração(s),Throughput(KB/s)
Aplicação,RUDP,cenarioA,500KB,1.5784,316.78
Aplicação,RUDP,cenarioA,500KB,1.5391,324.86
Aplicação,RUDP,cenarioA,500KB,1.5583,320.86
Aplicação,RUDP,cenarioA,500KB,1.5521,322.14
Aplicação,RUDP,cenarioA,500KB,1.5655,319.4
Aplicação,RUDP,cenarioA,500KB,1.5384,325.01
Aplicação,RUDP,cenarioA,500KB,1.5603,320.46
Aplicação,RUDP,cenarioA,500KB,1.5297,326.85
Aplicação,RUDP,cenarioA,500KB,1.5553,321.48
Aplicação,RUDP,cenarioA,500KB,1.5629,319.91
Captura,RUDP,cenarioA,500KB,1.5776,316.94
Captura,RUDP,cenarioA,500KB,1.5386,324.96
Captura,RUDP,cenarioA,500KB,1.5577,321.0
Captura,RUDP,cenarioA,500KB,1.552,322.16
Captura,RUDP,cenarioA,500KB,1.5647,319.55
Captura,RUDP,cenarioA,500KB,1.5381,325.07
Captura,RUDP,cenarioA,500KB,1.5593,320.66
Captura,RUDP,cenarioA,500KB,1.5295,326.9
Captura,RUDP,cenarioA,500KB,1.5545,321.64
Captura,RUDP,cenarioA,500KB,1.5624,320.03
Aplicação,RUDP,cenarioB,500KB,10.7593,46.47
Aplicação,RUDP,cenarioB,500KB,9.214,54.27
Aplicação,RUDP,cenarioB,500KB,9.7455,51.31
Aplicação,RUDP,cenarioB,500KB,8.253,60.58
Aplicação,RUDP,cenarioB,500KB,8.2547,60.57
Aplicação,RUDP,cenarioB,500KB,9.2283,54.18
Aplicação,RUDP,cenarioB,500KB,11.2217,44.56
Aplicação,RUDP,cenarioB,500KB,8.218,60.84
Aplicação,RUDP,cenarioB,500KB,10.207,48.99
Aplicação,RUDP,cenarioB,500KB,8.7133,57.38
Captura,RUDP,cenarioB,500KB,10.7588,46.47
Captura,RUDP,cenarioB,500KB,9.2135,54.27
Captura,RUDP,cenarioB,500KB,9.745,51.31
